"LSOA","Rurality","LV_flexibility_savings","Total_flexibility_savings"
"E01000210","Urban",0,0
"E01000211","Urban",0,0
"E01000212","Urban",8.91,0
"E01000213","Urban",0,0
"E01000214","Urban",3.15,0
"E01000215","Urban",11.03,0
"E01000216","Urban",12.28,0
"E01000217","Urban",6.95,0
"E01000218","Urban",0,0
"E01000219","Urban",1.47,0
"E01000220","Urban",2.59,0
"E01000221","Urban",6.74,0
"E01000222","Urban",34.37,0
"E01000223","Urban",9.56,0
"E01000224","Urban",9.05,0
"E01000225","Urban",10.4,0
"E01000226","Urban",10.58,0
"E01000227","Urban",16.26,0
"E01000228","Urban",13.76,0
"E01000229","Urban",3.75,0
"E01000230","Urban",4.41,0
"E01000231","Urban",9.82,0
"E01000232","Urban",19.97,0
"E01000233","Urban",10.1,4
"E01000234","Urban",7.23,0
"E01000235","Urban",24.66,25.65
"E01000236","Urban",3.97,0
"E01000237","Urban",8.13,2
"E01000238","Urban",11,0
"E01000239","Urban",91.53,17.96
"E01000240","Urban",14.7,0
"E01000241","Urban",3.72,3
"E01000242","Urban",15.12,0
"E01000243","Urban",6.6,0
"E01000244","Urban",5.26,0
"E01000245","Urban",0,0
"E01000246","Urban",26.2,4
"E01000247","Urban",37.43,0
"E01000248","Urban",8.74,0
"E01000249","Urban",45.54,46.17
"E01000250","Urban",25.13,12.54
"E01000251","Urban",8.75,0
"E01000252","Urban",9.48,12
"E01000253","Urban",52.75,0
"E01000254","Urban",23.12,0
"E01000255","Urban",5.22,0
"E01000256","Urban",66.95,0
"E01000257","Urban",48.9,23.25
"E01000258","Urban",46.07,12
"E01000259","Urban",27.44,49.92
"E01000260","Urban",28.93,0
"E01000261","Urban",22.53,49.8
"E01000262","Urban",99.19,0
"E01000263","Urban",15.2,0
"E01000264","Urban",16.55,0
"E01000265","Urban",5.92,0
"E01000266","Urban",29.144,0
"E01000267","Urban",8.69,0
"E01000268","Urban",8.03,5.58
"E01000269","Urban",24.01,0
"E01000270","Urban",20.17,0
"E01000271","Urban",35.05,0
"E01000272","Urban",52.32,0
"E01000273","Urban",19.27,0
"E01000274","Urban",8.69,0
"E01000275","Urban",14.3,0
"E01000276","Urban",21.03,0
"E01000277","Urban",7.84,0
"E01000278","Urban",5.6,0
"E01000279","Urban",15.18,0
"E01000280","Urban",14.44,0
"E01000281","Urban",35.81,3.8
"E01000282","Urban",6.19,0
"E01000283","Urban",9.3,0
"E01000284","Urban",8.83,10
"E01000285","Urban",21.05,0
"E01000286","Urban",7.92,0
"E01000287","Urban",11.91,0
"E01000288","Urban",50.49,0
"E01000289","Urban",17.53,0
"E01000290","Urban",49.92,0
"E01000291","Urban",34.24,0
"E01000292","Urban",18.65,0
"E01000293","Urban",33.5,0
"E01000294","Urban",29.81,8.24
"E01000295","Urban",30.34,0
"E01000296","Urban",4,0
"E01000297","Urban",17.5,10.15
"E01000298","Urban",16.03,0
"E01000299","Urban",1.08,0
"E01000300","Urban",13.86,0
"E01000301","Urban",29.3,4
"E01000302","Urban",3.36,0
"E01000303","Urban",16.36,0
"E01000304","Urban",4,0
"E01000305","Urban",0,49.59
"E01000306","Urban",1.96,0
"E01000307","Urban",15.31,0
"E01000308","Urban",0,0
"E01000309","Urban",30.39,0
"E01000310","Urban",14.35,0
"E01000311","Urban",4.31,0
"E01000312","Urban",1.92,0
"E01000313","Urban",3.6,3.4
"E01000314","Urban",13.73,0
"E01000315","Urban",8.19,23
"E01000316","Urban",12.57,0
"E01000317","Urban",2,0
"E01000318","Urban",47.22,16.45
"E01000319","Urban",9.06,0
"E01000320","Urban",30.45,0
"E01000321","Urban",0,0
"E01000322","Urban",14.42,0
"E01000323","Urban",11.14,0
"E01000324","Urban",22.5,0
"E01000325","Urban",11.77,0
"E01000326","Urban",2,0
"E01000327","Urban",13.87,0
"E01000328","Urban",17.3,0
"E01000329","Urban",47.57,0
"E01000330","Urban",19.38,19.99
"E01000331","Urban",15.58,0
"E01000332","Urban",34.16,0
"E01000333","Urban",19.21,0
"E01000334","Urban",25.25,0
"E01000335","Urban",89.65,99.36
"E01000336","Urban",1,0
"E01000337","Urban",9.26,0
"E01000338","Urban",12.6,0
"E01000339","Urban",21.77,3.68
"E01000340","Urban",2,0
"E01000341","Urban",20.61,3.96
"E01000342","Urban",10.47,0
"E01000343","Urban",16.09,0
"E01000344","Urban",24.99,0
"E01000345","Urban",7.66,0
"E01000346","Urban",18.8,0
"E01000347","Urban",7.6,0
"E01000348","Urban",25.98,0
"E01000349","Urban",15.93,0
"E01000350","Urban",7.5,4.56
"E01000351","Urban",6.19,0
"E01000352","Urban",19.42,11.88
"E01000353","Urban",18.74,0
"E01000354","Urban",22.74,0
"E01000355","Urban",9.82,0
"E01000356","Urban",66.11,0
"E01000357","Urban",21.2,0
"E01000358","Urban",18.66,0
"E01000359","Urban",25.26,0
"E01000360","Urban",14.34,3
"E01000361","Urban",19.66,0
"E01000362","Urban",30.37,0
"E01000363","Urban",20.28,0
"E01000364","Urban",30.7,0
"E01000365","Urban",16.89,0
