"LSOA","Rurality","LV_flexibility_savings","Total_flexibility_savings"
"E01011193","Villages",198.87,10.74
"E01011194","Urban",79.51,0
"E01011195","Villages",93.43,0
"E01011196","Cities",89.38,0
"E01011197","Cities",53.14,0
"E01011198","Towns",47.44,14
"E01011199","Towns",88.14,0
"E01011200","Urban",144.48,0
"E01011201","Urban",20.73,0
"E01011202","Urban",75.1,20
"E01011203","Urban",69.44,0
"E01011204","Urban",66.1,0
"E01011205","Urban",77.07,41.64
"E01011206","Urban",86.18,36.89
"E01011207","Urban",62.85,0
"E01011208","Urban",77.5,0
"E01011209","Urban",114.08,0
"E01011210","Urban",118.58,0
"E01011211","Urban",105.08,0
"E01011212","Urban",77.98,0
"E01011213","Urban",59.35,0
"E01011214","Urban",62.27,0
"E01011215","Urban",72.93,10
"E01011216","Urban",96.3,0
"E01011217","Urban",90.67,0
"E01011218","Urban",169.91,0
"E01011219","Urban",72.91,0
"E01011220","Urban",169.47,0
"E01011221","Urban",125.5,0
"E01011222","Urban",52.39,9.84
"E01011223","Urban",32.77,5.08
"E01011224","Urban",53.12,9.89
"E01011225","Urban",27.2,6.99
"E01011226","Urban",59.18,4
"E01011227","Urban",16.53,0
"E01011228","Urban",28.27,0
"E01011229","Urban",54.65,114.98
"E01011230","Urban",13.43,95.75
"E01011231","Urban",5.16,0
"E01011232","Urban",98.17,0
"E01011233","Urban",43.69,0
"E01011234","Urban",25.66,0
"E01011235","Urban",7.88,44.6
"E01011236","Urban",8.75,34.77
"E01011237","Urban",42.79,0
"E01011238","Urban",35.39,0
"E01011239","Urban",25.54,0
"E01011240","Urban",33.52,0
"E01011241","Urban",47.71,0
"E01011242","Urban",98.56,35
"E01011243","Urban",48.27,0
"E01011244","Urban",100.79,0
"E01011245","Urban",121.31,40
"E01011246","Urban",31.71,0
"E01011247","Urban",78.98,0
"E01011248","Urban",63.92,0
"E01011249","Urban",143.52,0
"E01011250","Urban",39.1,0
"E01011251","Urban",146.34,5.4
"E01011252","Urban",145.97,0
"E01011253","Urban",204,10
"E01011254","Urban",97.63,1.96
"E01011255","Urban",54.54,0
"E01011256","Urban",138.07,0
"E01011257","Urban",33.43,25.48
"E01011258","Urban",16.8,37
"E01011259","Urban",45.85,0
"E01011260","Urban",58.66,0
"E01011261","Urban",32.15,0
"E01011262","Urban",24.66,0
"E01011263","Urban",64.58,15.42
"E01011264","Urban",33.19,0
"E01011265","Urban",38.02,19.14
"E01011266","Urban",52,0
"E01011267","Urban",109.36,9.8
"E01011268","Urban",142.4,0
"E01011269","Urban",32.97,0
"E01011270","Urban",54.52,0
"E01011271","Urban",54.41,0
"E01011272","Urban",93.44,0
"E01011273","Urban",80.84,0
"E01011274","Urban",17.3,0
"E01011275","Urban",61.02,0
"E01011276","Urban",16.47,0
"E01011277","Urban",63.93,0
"E01011278","Urban",35.71,0
"E01011279","Urban",103.54,0
"E01011280","Urban",97.74,76.68
"E01011281","Urban",71.07,0
"E01011282","Urban",10.58,0
"E01011283","Urban",25.61,0
"E01011284","Urban",10,30
"E01011286","Urban",21.61,0
"E01011287","Urban",27.16,0
"E01011292","Urban",19.18,149.91
"E01011293","Urban",10.03,0
"E01011294","Urban",13.8,0
"E01011295","Urban",68.29,0
"E01011296","Towns",45.64,0
"E01011297","Villages",106.67,268.71
"E01011298","Towns",76.91,0
"E01011299","Cities",88.51,0
"E01011300","Cities",45.94,3.89
"E01011301","Cities",59.33,0
"E01011302","Cities",138.03,0
"E01011303","Cities",59.16,0
"E01011304","Cities",47.9,0
"E01011305","Cities",94.92,0
"E01011306","Cities",70.65,0
"E01011307","Cities",73.82,0
"E01011308","Cities",65.04,0
"E01011309","Towns",109.505,0
"E01011310","Towns",94.07,50
"E01011311","Villages",44.28,0
"E01011312","Urban",2.75,49.95
"E01011313","Urban",2,0
"E01011314","Urban",15.7,0
"E01011315","Urban",94.39,12
"E01011316","Urban",2.52,0
"E01011317","Urban",96.52,50
"E01011318","Urban",31.92,0
"E01011319","Urban",45.23,0
"E01011320","Urban",17.92,0
"E01011321","Urban",20.97,0
"E01011322","Urban",59.12,574.96
"E01011323","Urban",72.21,0
"E01011324","Urban",4.16,0
"E01011325","Urban",86.21,33.2
"E01011326","Urban",133.6,0
"E01011327","Urban",50.09,0
"E01011328","Urban",67.99,0
"E01011329","Urban",16.56,0
"E01011330","Urban",47.69,0
"E01011331","Urban",38.45,0
"E01011332","Urban",23.04,0
"E01011333","Urban",33.05,0
"E01011334","Urban",20.38,0
"E01011335","Urban",17.71,51.28
"E01011336","Urban",68.82,59.87
"E01011337","Urban",5.99,0
"E01011338","Urban",0,0
"E01011339","Urban",24.02,0
"E01011340","Urban",26.91,0
"E01011341","Urban",15.72,0
"E01011342","Urban",18.5,0
"E01011343","Urban",34.74,2
"E01011344","Urban",4.92,0
"E01011345","Urban",63.69,0
"E01011346","Urban",15.16,0
"E01011347","Urban",36.25,0
"E01011348","Urban",25.02,0
"E01011349","Urban",3.18,0
"E01011350","Urban",40.35,0
"E01011351","Urban",24.33,0
"E01011352","Urban",20.49,50
"E01011353","Urban",74.88,0
"E01011354","Urban",18.76,0
"E01011355","Urban",38.492,0
"E01011356","Urban",50.12,0
"E01011357","Urban",30.2,0
"E01011358","Urban",10.06,0
"E01011359","Urban",37.67,0
"E01011360","Urban",64.12,0
"E01011361","Urban",97.05,4
"E01011362","Urban",6.57,173.74
"E01011363","Urban",112.79,185.75
"E01011364","Urban",118.26,249.9
"E01011366","Urban",5.52,69
"E01011368","Urban",0,0
"E01011369","Urban",20.99,50
"E01011370","Urban",12.12,0
"E01011371","Urban",89.65,0
"E01011372","Urban",7.36,0
"E01011373","Urban",9.4,0
"E01011374","Urban",8,0
"E01011375","Urban",4.6,0
"E01011376","Urban",48.14,0
"E01011377","Urban",45.8,0
"E01011378","Urban",23.89,0
"E01011379","Urban",27.02,149.34
"E01011380","Urban",76.2,0
"E01011381","Urban",105.46,0
"E01011382","Urban",27.55,0
"E01011383","Urban",74.05,0
"E01011384","Urban",58.85,0
"E01011385","Urban",69.44,50
"E01011386","Urban",131.12,0
"E01011388","Urban",58.11,0
"E01011390","Towns",65.24,0
"E01011391","Towns",90.86,0
"E01011392","Cities",41.25,0
"E01011393","Towns",55.05,0
"E01011394","Towns",48.24,0
"E01011395","Towns",54.12,0
"E01011396","Cities",55.24,0
"E01011397","Cities",37.01,0
"E01011398","Cities",61.72,29.69
"E01011399","Cities",39.58,0
"E01011400","Cities",35.57,15.8
"E01011401","Cities",58.62,0
"E01011402","Cities",99.16,0
"E01011403","Cities",83.47,10
"E01011404","Cities",32.11,0
"E01011405","Cities",80.47,0
"E01011406","Urban",12.92,0
"E01011407","Urban",6.64,0
"E01011408","Urban",11.83,0
"E01011409","Urban",24.01,0
"E01011410","Urban",182.71,0
"E01011411","Urban",30.05,100
"E01011412","Urban",32.89,0
"E01011413","Urban",14.17,0
"E01011414","Urban",40.02,45.92
"E01011415","Urban",20.68,0
"E01011416","Urban",18.97,0
"E01011417","Urban",25.16,3.98
"E01011418","Urban",126.03,3.68
"E01011419","Urban",84.21,0
"E01011420","Urban",98.61,0
"E01011421","Urban",28.2,0
"E01011422","Urban",25.3,0
"E01011423","Urban",7.46,0
"E01011424","Urban",18.42,0
"E01011425","Urban",24.28,0
"E01011426","Urban",8.85,0
"E01011427","Urban",0.94,0
"E01011428","Urban",0,0
"E01011429","Urban",3.12,0
"E01011430","Urban",9.8,0
"E01011431","Urban",3,0
"E01011432","Urban",0,0
"E01011433","Urban",1.8,0
"E01011434","Urban",3,0
"E01011435","Urban",7.97,0
"E01011440","Urban",23.62,15.15
"E01011441","Urban",14.7,0
"E01011442","Urban",5.04,0
"E01011443","Urban",2.6,0
"E01011444","Urban",0,0
"E01011445","Urban",4,0
"E01011446","Urban",2.8,0
"E01011447","Urban",8,0
"E01011448","Urban",0,0
"E01011449","Urban",0,0
"E01011450","Urban",99.19,0
"E01011451","Urban",12.47,0
"E01011452","Urban",74.38,0
"E01011453","Urban",35.02,0
"E01011454","Urban",30.76,0
"E01011455","Urban",37.01,5.88
"E01011456","Urban",63.43,10.25
"E01011457","Urban",53.85,0
"E01011458","Urban",154.39,0
"E01011459","Urban",77.27,0
"E01011460","Urban",22.79,0
"E01011461","Urban",89.27,0
"E01011462","Urban",21.85,0
"E01011463","Urban",36.95,0
"E01011464","Urban",36.24,3.84
"E01011465","Urban",40.79,39
"E01011466","Urban",81.21,0
"E01011467","Urban",48.91,246.7
"E01011468","Urban",102.9,152.11
"E01011469","Urban",63.36,0
"E01011470","Urban",33.4,0
"E01011471","Urban",47.8,3.12
"E01011472","Urban",56.3,0
"E01011473","Urban",6,0
"E01011474","Urban",21.53,0
"E01011475","Urban",63.44,0
"E01011476","Urban",138.71,0
"E01011477","Urban",19.9,0
"E01011478","Urban",15.94,0
"E01011479","Urban",2.5,0
"E01011480","Urban",41.47,0
"E01011481","Urban",7.48,0
"E01011482","Urban",34.05,0
"E01011483","Urban",16.59,0
"E01011484","Urban",12.09,0
"E01011485","Urban",16.53,0
"E01011488","Urban",8.895,0
"E01011489","Urban",21.25,0
"E01011490","Urban",108.88,91.76
"E01011491","Urban",90.49,0
"E01011492","Urban",12.48,0
"E01011493","Urban",82.39,0
"E01011494","Urban",35.68,0
"E01011496","Urban",71.74,0
"E01011497","Urban",36.77,29.12
"E01011499","Urban",95.8,3.5
"E01011500","Urban",45.58,0
"E01011502","Urban",124.47,0
"E01011504","Urban",98.84,0
"E01011505","Urban",11.38,0
"E01011506","Urban",26.2,2.88
"E01011507","Urban",28.81,0
"E01011508","Urban",36.42,0
"E01011509","Urban",24.82,0
"E01011510","Urban",32.75,0
"E01011511","Urban",37.33,30.99
"E01011512","Urban",78.63,0
"E01011513","Urban",47.2,0
"E01011514","Urban",33.88,0
"E01011515","Urban",14.31,0
"E01011516","Urban",19.97,0
"E01011517","Urban",71.19,7.5
"E01011518","Urban",111.66,166.4
"E01011519","Urban",60.39,0
"E01011520","Urban",100.94,0
"E01011521","Cities",46.88,3.62
"E01011522","Urban",86.16,0
"E01011523","Urban",60.28,0
"E01011524","Urban",96.28,0
"E01011525","Urban",26.21,0
"E01011526","Urban",95.8,0
"E01011527","Urban",60.16,0
"E01011528","Urban",92.67,0
"E01011529","Urban",65.8,0
"E01011530","Urban",50.33,0
"E01011531","Urban",200.5,783.54
"E01011532","Urban",67.19,0
"E01011533","Urban",48.33,149.91
"E01011534","Urban",35.74,0
"E01011535","Urban",112.15,0
"E01011536","Urban",103.1,0
"E01011537","Urban",119.18,41.75
"E01011538","Urban",47.98,188.4
"E01011540","Urban",187.8,0
"E01011541","Urban",34.04,7.36
"E01011545","Urban",55.32,71.75
"E01011546","Urban",87.13,0
"E01011547","Urban",84.57,0
"E01011548","Urban",129.16,0
"E01011549","Urban",105.66,0
"E01011550","Urban",42.81,0
"E01011551","Urban",42.76,0
"E01011552","Urban",41.33,0
"E01011553","Urban",72.58,0
"E01011554","Urban",48.51,0
"E01011555","Urban",49.31,0
"E01011556","Urban",22.04,0
"E01011557","Urban",26.99,0
"E01011558","Urban",10.64,0
"E01011559","Urban",16.65,151.2
"E01011560","Urban",19.06,0
"E01011561","Urban",76.15,49
"E01011562","Urban",71.49,0
"E01011563","Urban",57.76,0
"E01011564","Urban",51.18,0
"E01011565","Urban",36.59,0
"E01011566","Urban",26.71,0
"E01011567","Urban",33.42,0
"E01011568","Urban",71.4,0
"E01011569","Urban",116.79,223.6
"E01011570","Towns",69.89,70.2
"E01011571","Urban",45.82,0
"E01011572","Urban",35.87,214.64
"E01011573","Cities",38.81,0
"E01011574","Urban",18.19,0
"E01011576","Towns",83.69,0
"E01011578","Urban",58.14,0
"E01011579","Urban",14.99,0
"E01011580","Urban",35.38,0
"E01011581","Urban",75.82,0
"E01011582","Urban",94.08,0
"E01011583","Urban",59.4,0
"E01011584","Urban",68.85,0
"E01011585","Urban",22.29,0
"E01011586","Urban",22.58,0
"E01011587","Urban",20.35,0
"E01011588","Urban",35.65,2
"E01011589","Urban",16.7,4
"E01011590","Urban",29.7,0
"E01011591","Urban",22.33,0
"E01011592","Urban",9,32.88
"E01011593","Urban",50.72,0
"E01011594","Urban",35.83,0
"E01011595","Urban",41.43,0
"E01011596","Urban",81.36,128.8
"E01011597","Urban",25.54,0
"E01011598","Urban",26.24,4
"E01011599","Urban",24.86,0
"E01011600","Urban",39.51,0
"E01011601","Urban",83.39,0
"E01011602","Urban",51.51,0
"E01011603","Urban",36.75,0
"E01011604","Urban",23.53,29.37
"E01011605","Urban",47.69,0
"E01011606","Urban",42.79,49.92
"E01011607","Urban",46.63,0
"E01011608","Urban",54.56,0
"E01011609","Urban",55.79,0
"E01011610","Urban",68.7,0
"E01011611","Urban",131.55,0
"E01011612","Urban",9.61,0
"E01011613","Urban",105.71,0
"E01011614","Urban",55.03,1.5
"E01011615","Urban",31.8,0
"E01011616","Urban",17.31,0
"E01011617","Urban",8.83,0
"E01011618","Urban",8.72,0
"E01011620","Urban",12.22,0
"E01011621","Urban",65,247.83
"E01011622","Urban",7.7,0
"E01011623","Urban",13.26,4
"E01011624","Urban",9.62,0
"E01011625","Urban",7.13,2.42
"E01011626","Urban",56.63,0
"E01011627","Urban",72.16,0
"E01011628","Urban",35.5,0
"E01011629","Urban",24.06,0
"E01011630","Urban",48.16,0
"E01011632","Urban",133.1,0
"E01011633","Urban",80.33,0
"E01011634","Urban",116.12,397.62
"E01011635","Urban",72.23,0
"E01011636","Urban",103.79,0
"E01011637","Urban",58.72,0
"E01011638","Urban",77.94,0
"E01011639","Urban",57.67,0
"E01011641","Urban",41.51,0
"E01011642","Urban",34.74,0
"E01011643","Urban",51.09,0
"E01011644","Urban",51.55,0
"E01011645","Urban",32.29,3
"E01011646","Urban",20.58,0
"E01011647","Urban",12.85,87
"E01011648","Urban",13.28,0
"E01011649","Towns",115.19,3.97
"E01011650","Urban",61.91,0
"E01011651","Urban",28.95,0
"E01011652","Urban",43.4,0
"E01011653","Urban",23.13,0
"E01011654","Urban",63.99,0
"E01011655","Urban",17.02,0
"E01011656","Urban",72.47,0
"E01011657","Urban",135.93,11
"E01011658","Urban",63.19,0
"E01011659","Urban",78.18,0
"E01011660","Urban",81.32,0
"E01011661","Urban",28.58,0
"E01011662","Urban",10.15,0
"E01011663","Urban",9.96,0
"E01011664","Urban",37.32,0
"E01011665","Urban",45.35,50
"E01011666","Urban",15.7,0
"E01011667","Urban",0,0
"E01011668","Urban",5.46,0
"E01011669","Urban",16.5,0
"E01011670","Urban",2.65,3.7
"E01011671","Urban",97.36,0
"E01011673","Urban",0,4
"E01011677","Urban",32.12,0
"E01011678","Urban",9.2,128.89
"E01011681","Urban",71.73,0
"E01011684","Urban",51.71,27.57
"E01011685","Urban",21.8,138.66
"E01011686","Urban",64.56,0
"E01011687","Urban",49.89,0
"E01011688","Urban",51.19,0
"E01011689","Urban",54.99,0
"E01011690","Urban",49.07,30.36
"E01011691","Urban",12.55,0
"E01011692","Urban",25.94,9.8
"E01011693","Urban",6.62,0
"E01011694","Urban",15.48,23.89
"E01011695","Urban",21.43,0
"E01011696","Cities",88.8,7.5
"E01011697","Villages",101.96,69.32
"E01011698","Cities",56.61,0
"E01011699","Cities",77.03,0
"E01011700","Cities",102.66,0
"E01011701","Cities",80.79,0
"E01011702","Cities",73.54,0
"E01011703","Cities",80.17,0
"E01011704","Cities",74.75,88.16
"E01011705","Cities",28.54,0
"E01011706","Cities",79.09,3.97
"E01011707","Towns",64.03,0
"E01011708","Villages",119.62,4
"E01011709","Towns",168.5,49.91
"E01011710","Towns",55.32,0
"E01011711","Towns",95.18,0
"E01011712","Towns",51.17,3.9
"E01011713","Villages",95.31,13.75
"E01011714","Urban",71.41,0
"E01011715","Towns",67.1,0
"E01011716","Urban",72.48,30
"E01011717","Urban",45.63,28
"E01011718","Urban",87.11,0
"E01011719","Towns",100.414,0
"E01011720","Urban",80.94,26.25
"E01011721","Urban",260.95,0
"E01011722","Urban",145.29,0
"E01011723","Urban",215.24,2.36
"E01011724","Urban",91.28,0
"E01011725","Urban",111.69,0
"E01011726","Urban",19.91,10
"E01011727","Urban",77.68,30
"E01011728","Urban",63.34,0
"E01011729","Urban",16.54,0
"E01011730","Urban",10.74,0
"E01011731","Urban",28.35,0
"E01011732","Urban",25.97,30
"E01011733","Urban",21.54,0
"E01011734","Urban",19.65,30.9
"E01011735","Urban",92.99,0
"E01011736","Urban",8.77,0.49
"E01011737","Urban",92.79,45.5
"E01011738","Urban",86.33,0
"E01011739","Urban",42.67,0
"E01011740","Cities",55.8,8.5
"E01011741","Cities",80.31,0
"E01011742","Cities",53.93,0
"E01011743","Cities",163.35,153.76
"E01011744","Cities",51.84,0
"E01011745","Cities",45.79,0
"E01011746","Cities",412.55,0
"E01011747","Cities",62.67,0
"E01011748","Cities",89.36,21.84
"E01011749","Cities",110.8,429.95
"E01011750","Cities",28.94,0
"E01011751","Cities",29.4,0
"E01011752","Cities",9.15,0
"E01011753","Cities",52.88,49.75
"E01011754","Cities",67.17,0
"E01011755","Cities",93.64,0
"E01011756","Cities",15.18,0
"E01011757","Cities",98.59,0
"E01011758","Cities",167.45,738.25
"E01011759","Cities",49.5,0
"E01011760","Cities",54.63,13.28
"E01011761","Cities",48.51,0
"E01011762","Cities",9.88,0
"E01011763","Cities",44.54,0
"E01011764","Cities",46.67,0
"E01011765","Towns",63.77,15.15
"E01011766","Towns",111.05,40.15
"E01011767","Villages",100.48,0
"E01011768","Towns",59.59,0
"E01011769","Towns",128.81,4.5
"E01011770","Towns",103.24,73.75
"E01011771","Towns",67.01,0
"E01011772","Towns",112.8,0
"E01011773","Towns",89.35,0
"E01011774","Towns",110.84,0
"E01011775","Cities",346.93,424.19
"E01011776","Towns",128.51,49.6
"E01011777","Cities",76.06,0
"E01011778","Cities",88.33,0
"E01011779","Cities",83.85,0
"E01011780","Cities",117.96,0
"E01011781","Cities",251.38,99.9
"E01011782","Cities",125.08,0
"E01011783","Cities",202.85,40
"E01011784","Towns",134.22,9.8
"E01011785","Towns",136.45,8
"E01011786","Towns",64.74,0
"E01011787","Towns",153.6,0
"E01011788","Towns",139.48,42.82
"E01011789","Towns",156.84,9.87
"E01011790","Towns",14.64,0
"E01011791","Towns",95.87,0
"E01011792","Towns",56.65,27
"E01011793","Urban",90.75,0
"E01011794","Urban",37.46,49.98
"E01011795","Urban",68.48,0
"E01011796","Urban",91.38,0
"E01011797","Urban",103.36,0
"E01011798","Urban",57.63,0
"E01011799","Urban",33.12,0
"E01011800","Urban",66.08,0
"E01011801","Urban",32.21,0
"E01011802","Urban",63.41,0
"E01011803","Cities",87.56,0
"E01011804","Cities",108.83,46.12
"E01011805","Cities",64.52,0
"E01011806","Cities",189.42,0
"E01011807","Cities",57.05,0
"E01011808","Cities",101.97,23.5
"E01011809","Cities",129.55,0
"E01011810","Cities",75.57,0
"E01011811","Cities",106.47,0
"E01011812","Cities",226.05,0
"E01011813","Cities",98.41,0
"E01011814","Cities",71.91,0
"E01011815","Villages",156.99,0
"E01011816","Cities",131.66,0
"E01011817","Towns",102.71,0
"E01011818","Towns",51.13,0
"E01011819","Cities",45.33,30
"E01011820","Cities",65.15,0
"E01011821","Cities",63.49,7.28
"E01011822","Cities",43.21,0
"E01011823","Urban",61.45,29.15
"E01011824","Urban",16.44,22.02
"E01011825","Urban",66.79,0
"E01011826","Urban",62.73,0
"E01011827","Urban",138.02,0
"E01011828","Urban",103.02,52.5
"E01011829","Urban",90.84,0
"E01011830","Urban",48.3,0
"E01011831","Urban",52.46,0
"E01011832","Urban",86.06,0
"E01011833","Urban",127.55,0
"E01011834","Cities",100.54,0
"E01011835","Cities",159.71,0
"E01011836","Cities",73.14,0
"E01011837","Cities",21.37,7.15
"E01011838","Cities",17.85,0
"E01011839","Cities",171.95,0
"E01011840","Cities",19.29,0
"E01011841","Cities",74.38,0
"E01011842","Cities",53.4,0
"E01011843","Cities",138.41,0
"E01011844","Cities",157.38,0
"E01011845","Cities",195.71,0
"E01011846","Cities",80.79,0
"E01011847","Cities",110.93,0
"E01011848","Cities",55.12,0
"E01011849","Villages",130.35,147
"E01011850","Cities",32.17,23.75
"E01011851","Cities",46.48,0
"E01011852","Cities",115.51,9.6
"E01011853","Cities",48.92,0
"E01011854","Towns",186.96,0
"E01011855","Towns",178.99,23.9
"E01011856","Towns",124.75,0
"E01011857","Villages",181.05,0
"E01011858","Towns",141.03,0
"E01011859","Cities",60.92,60
"E01011860","Cities",117.22,4
"E01011861","Cities",142.34,0
"E01011862","Cities",194.62,24
"E01011863","Cities",53.28,21.6
"E01011864","Cities",118.65,0
"E01011865","Towns",204.58,0
"E01011866","Cities",120.32,3.64
"E01011867","Towns",90.78,0
"E01011868","Cities",127.94,24.5
"E01011869","Cities",28.1,0
"E01011870","Cities",151.82,3.8
"E01011871","Cities",165.56,700.58
"E01011872","Cities",75.88,0
"E01011873","Urban",31.9,0
"E01011874","Cities",98.35,0
"E01011875","Cities",112.18,26
"E01011876","Urban",61.34,0
"E01011877","Urban",101.1,34.2
"E01011878","Urban",102.25,0
"E01011879","Cities",23.24,10.4
"E01011880","Urban",87.38,0
"E01011881","Urban",39.96,0
"E01011882","Cities",42.52,0
"E01011883","Cities",91.53,0
"E01011884","Urban",132.77,0
"E01011885","Villages",101.51,148.64
"E01011886","Urban",197.84,0
"E01011887","Urban",85.06,48.96
"E01011888","Urban",48.76,0
"E01011889","Urban",105.52,9.36
"E01011890","Urban",95.8,0
"E01011891","Urban",32.98,0
"E01011892","Urban",74.58,0
"E01011893","Urban",124.55,0
"E01011894","Urban",118.95,0
"E01011895","Urban",67.59,0
"E01011896","Urban",70.39,0
"E01011897","Urban",35.21,4
"E01011898","Urban",25.06,0
"E01011899","Urban",21.33,15.52
"E01011900","Urban",24.85,40
"E01011901","Urban",30.04,0
"E01011902","Urban",76.17,0
"E01011903","Urban",76.82,0
"E01011904","Urban",14.84,0
"E01011905","Urban",78.41,7.8
"E01011906","Urban",34.62,0
"E01011907","Urban",29.58,0
"E01011908","Urban",84.97,15.12
"E01011909","Urban",104.91,0
"E01011910","Urban",65.18,29.8
"E01011911","Urban",70.81,36.68
"E01011912","Urban",11.02,0
"E01011913","Urban",9.29,0
"E01011914","Urban",71.19,0
"E01011915","Urban",22.77,0
"E01011916","Urban",43.29,106.56
"E01011917","Urban",2.25,0
"E01011918","Urban",36.08,0
"E01011919","Urban",56.93,0
"E01011920","Urban",21.94,0
"E01011921","Urban",32.83,0
"E01011922","Urban",10.61,0
"E01011923","Urban",47.09,0
"E01011924","Urban",58.36,0
"E01011925","Urban",20.82,50
"E01011926","Urban",33.65,0
"E01011927","Urban",37.16,0
"E01011928","Cities",52.63,0
"E01011929","Urban",81.51,0
"E01011930","Urban",75.06,0
"E01011931","Towns",166.28,0
"E01011932","Towns",52.2,9.8
"E01011933","Urban",111.12,10
"E01011934","Urban",61.97,0
"E01011935","Villages",68.2,328.69
"E01011936","Urban",65.66,0
"E01011937","Urban",67.97,137.23
"E01011938","Cities",235.48,79.78
"E01011939","Urban",88.83,0
"E01011940","Urban",137.9,0
"E01011941","Cities",84.98,9.5
"E01011942","Villages",101.57,0
"E01011943","Urban",241.08,0
"E01011944","Urban",31.15,0
"E01011945","Urban",54.59,10
"E01011946","Urban",68.6,0
"E01011947","Urban",147.78,0
"E01011948","Urban",64.01,0
"E01011949","Cities",93.1,3.68
"E01011950","Cities",21.9,16.9
"E01011951","Cities",13.75,0
"E01011952","Cities",50.35,7.68
"E01011953","Cities",116.58,0
"E01011954","Cities",196.96,0
"E01011955","Cities",33.9,0
"E01011957","Cities",24.79,3.76
"E01011959","Villages",262.52,64.85
"E01011960","Cities",71.43,0
"E01011961","Cities",79.41,9.66
"E01011962","Cities",74.06,1.25
"E01011963","Cities",182.33,0
"E01011964","Cities",43.24,0
"E01011965","Cities",54.19,0
"E01011966","Cities",33.45,0
"E01011967","Cities",34,0
"E01011968","Cities",127.16,41.83
"E01011969","Cities",105.3,9.8
"E01011970","Cities",108,0
"E01011971","Cities",120.28,0
"E01011973","Cities",2.25,0
"E01011974","Cities",22.24,57.04
"E01011975","Cities",19.01,0
"E01011976","Cities",25.15,0
"E01011977","Cities",66.11,0
"E01011978","Cities",35.79,0
"E01011979","Cities",76.73,0
"E01011980","Cities",82.68,0
"E01011981","Cities",85.46,43.07
"E01011982","Cities",106.41,25
"E01011983","Cities",183.56,59.87
"E01011984","Cities",32.85,0
"E01011985","Cities",52.28,0
"E01011986","Cities",22.83,0
"E01011987","Cities",14.04,0
"E01011988","Cities",81.85,0
"E01011989","Cities",32.64,0
"E01011990","Cities",110.93,3.08
"E01011991","Cities",59.67,0.96
"E01011992","Cities",51.64,0
"E01011993","Cities",79.01,0
"E01011994","Cities",52.83,0
"E01011995","Cities",108,0
"E01011996","Cities",40.32,0
"E01011997","Cities",135.44,0
"E01011998","Cities",136.55,11
"E01011999","Cities",56.84,295.94
"E01012000","Cities",58,32.03
"E01012001","Cities",186.27,71.63
"E01012002","Cities",20.38,0
"E01012003","Cities",190.52,0
"E01012005","Cities",98.83,0
"E01012007","Cities",34.66,0
"E01012008","Cities",29.42,0
"E01012009","Cities",43.16,0
"E01012010","Cities",30.09,0
"E01012011","Cities",74.98,0
"E01012012","Cities",60.09,0
"E01012013","Cities",24.81,0
"E01012014","Cities",25.82,0
"E01012015","Cities",26.55,0
"E01012016","Cities",117.36,0
"E01012017","Cities",67.89,0
"E01012018","Cities",26.9,49.8
"E01012019","Cities",4,0
"E01012020","Cities",25.62,0
"E01012021","Cities",17.69,0
"E01012022","Cities",56.25,0
"E01012023","Cities",74.77,0
"E01012024","Cities",51.34,0
"E01012025","Cities",34.57,0
"E01012026","Cities",29.68,0
"E01012027","Cities",89.37,50
"E01012030","Cities",77.7,198.99
"E01012031","Cities",24.16,0
"E01012032","Cities",68.63,0
"E01012033","Cities",30.11,50
"E01012034","Cities",49.48,0
"E01012035","Cities",67.73,0
"E01012036","Cities",0,0
"E01012037","Cities",0,0
"E01012038","Cities",2.5,0
"E01012039","Cities",0,0
"E01012040","Cities",6.75,0
"E01012041","Cities",61.97,135.86
"E01012042","Cities",22.61,0
"E01012043","Cities",149.63,0
"E01012044","Cities",348.59,0
"E01012045","Cities",382.39,0
"E01012046","Cities",64.42,0
"E01012047","Cities",41.52,0
"E01012048","Cities",66.92,0
"E01012049","Cities",35.61,0
"E01012050","Cities",78.6,47.5
"E01012051","Cities",56,2.02
"E01012052","Cities",47.96,0
"E01012053","Cities",40.09,0
"E01012054","Cities",53.4,0
"E01012055","Cities",45.44,0
"E01012056","Cities",45.51,0
"E01012057","Cities",31.38,19.98
"E01012058","Cities",2,0
"E01012059","Cities",63.14,0
"E01012060","Cities",6.12,0
"E01012061","Cities",27.55,154.84
"E01012062","Cities",136.43,0
"E01012063","Cities",93.64,0
"E01012064","Cities",147.22,97.92
"E01012065","Cities",104.05,0
"E01012066","Cities",68.37,9.99
"E01012067","Cities",72.62,0
"E01012068","Cities",29.2,22
"E01012071","Cities",147.05,0
"E01012073","Cities",120.06,0
"E01012074","Cities",46.5,0
"E01012075","Cities",145.32,0
"E01012076","Cities",16.24,42
"E01012077","Cities",19.63,0
"E01012078","Cities",5.5,0
"E01012079","Cities",36.2,6.12
"E01012080","Cities",27.95,0
"E01012081","Cities",28.5,0
"E01012082","Cities",50.65,0
"E01012083","Cities",28.97,0
"E01012084","Cities",48.56,0
"E01012085","Cities",40.1,0
"E01012088","Cities",76.95,0
"E01012089","Cities",68.94,0
"E01012090","Cities",12.24,0
"E01012091","Cities",7.06,0
"E01012092","Cities",2,0
"E01012093","Cities",5.58,1.47
"E01012094","Cities",53.94,0
"E01012095","Towns",174.56,0
"E01012096","Towns",43.98,11
