LSOA,NSubstations_11kV_GMT,NSubstations_11kV_PMT
E01014611,10,0
E01014612,5,0
E01014613,9,0
E01014614,9,0
E01014615,6,0
E01014616,5,0
E01014617,3,0
E01014618,3,0
E01014619,5,0
E01014620,4,0
E01014621,1,0
E01014622,9,0
E01014623,10,0
E01014624,6,0
E01014625,5,0
E01014626,13,0
E01014627,5,0
E01014628,1,0
E01014629,1,0
E01014630,4,0
E01014631,5,0
E01014632,3,0
E01014633,10,0
E01014634,2,0
E01014635,6,0
E01014636,3,0
E01014637,2,0
E01014638,9,0
E01014639,6,1
E01014640,7,3
E01014641,7,0
E01014642,5,1
E01014643,6,0
E01014644,3,0
E01014645,5,0
E01014646,4,0
E01014647,3,0
E01014648,4,0
E01014649,3,0
E01014650,1,0
E01014651,4,0
E01014652,48,0
E01014653,8,0
E01014654,9,0
E01014655,2,0
E01014656,69,0
E01014657,10,0
E01014658,29,0
E01014659,5,1
E01014660,7,0
E01014661,4,0
E01014662,4,0
E01014663,7,0
E01014664,9,0
E01014665,16,0
E01014666,6,0
E01014667,6,0
E01014668,3,0
E01014669,3,0
E01014670,3,0
E01014671,4,0
E01014672,8,0
E01014673,5,0
E01014674,3,0
E01014675,5,0
E01014676,3,0
E01014677,4,1
E01014678,6,0
E01014679,7,0
E01014680,3,0
E01014681,8,0
E01014682,4,0
E01014683,5,0
E01014684,5,0
E01014685,2,0
E01014686,3,0
E01014687,3,0
E01014688,4,0
E01014689,3,0
E01014690,4,0
E01014691,11,0
E01014692,4,0
E01014693,5,0
E01014694,6,0
E01014695,15,1
E01014696,1,0
E01014697,28,0
E01014698,3,0
E01014699,5,0
E01014700,4,0
E01014701,2,0
E01014702,5,0
E01014703,5,0
E01014704,6,0
E01014705,7,0
E01014706,5,0
E01014707,8,0
E01014708,5,0
E01014709,16,0
E01014710,6,0
E01014711,4,0
E01014712,8,0
E01014713,6,0
E01014714,7,0
E01014715,6,0
E01014716,10,0
E01014717,9,0
E01014718,6,0
E01014719,7,0
E01014720,4,0
E01014721,7,0
E01014722,3,0
E01014723,6,0
E01014724,2,0
E01014725,4,0
E01014726,5,0
E01014727,3,0
E01014728,13,0
E01014729,6,0
E01014730,4,0
E01014731,2,0
E01014732,2,0
E01014733,2,0
E01014734,2,0
E01014735,3,0
E01014736,4,0
E01014737,7,6
E01014738,6,1
E01014739,8,42
E01014740,12,39
E01014741,6,15
E01014742,6,10
E01014743,14,27
E01014744,5,47
E01014745,7,20
E01014746,7,3
E01014747,9,35
E01014748,7,27
E01014749,5,24
E01014750,11,0
E01014751,5,0
E01014752,13,13
E01014753,6,0
E01014754,7,0
E01014755,6,0
E01014756,3,0
E01014757,6,0
E01014758,6,1
E01014759,6,0
E01014760,5,0
E01014761,7,2
E01014762,11,6
E01014763,4,0
E01014764,12,15
E01014765,10,32
E01014766,12,26
E01014767,15,15
E01014768,31,84
E01014769,11,14
E01014770,7,2
E01014771,9,7
E01014772,8,25
E01014773,5,45
E01014774,5,28
E01014775,0,0
E01014776,5,0
E01014777,8,0
E01014778,7,4
E01014779,8,0
E01014780,10,0
E01014781,7,0
E01014782,9,4
E01014783,6,1
E01014784,7,0
E01014785,7,14
E01014786,6,0
E01014787,13,3
E01014788,30,1
E01014789,10,0
E01014790,8,1
E01014791,16,0
E01014792,9,2
E01014793,7,1
E01014794,11,0
E01014795,7,0
E01014796,9,3
E01014797,6,0
E01014798,4,0
E01014799,7,0
E01014800,3,0
E01014801,24,0
E01014802,5,0
E01014803,10,1
E01014804,7,1
E01014805,8,5
E01014806,6,0
E01014807,3,0
E01014808,5,0
E01014809,9,0
E01014810,23,4
E01014811,7,0
E01014812,7,0
E01014813,7,0
E01014814,6,0
E01014815,5,0
E01014816,3,0
E01014817,7,0
E01014818,9,1
E01014819,9,0
E01014820,8,0
E01014821,0,0
E01014822,4,1
E01014823,4,0
E01014824,5,2
E01014825,1,0
E01014826,6,0
E01014827,2,0
E01014828,12,0
E01014829,13,0
E01014830,4,0
E01014831,4,0
E01014832,6,0
E01014833,11,0
E01014834,8,0
E01014835,6,0
E01014836,6,1
E01014837,22,1
E01014838,3,0
E01014839,6,0
E01014840,7,0
E01014841,11,0
E01014842,9,0
E01014843,5,0
E01014844,7,0
E01014845,12,0
E01014846,4,0
E01014847,4,59
E01014848,3,43
E01014849,15,25
E01014850,12,10
E01014851,11,2
E01014852,10,49
E01014853,13,6
E01014854,6,80
E01014855,6,15
E01014856,9,27
E01014857,6,0
E01014858,11,58
E01014859,9,0
E01014860,5,0
E01014861,51,61
E01014862,16,22
E01014867,11,3
E01014868,7,36
E01014872,3,0
E01014873,3,0
E01014874,7,0
E01014875,5,0
E01014876,3,0
E01014877,5,0
E01014878,2,0
E01014879,26,1
E01014880,6,0
E01014881,5,0
E01014882,8,0
E01014883,3,0
E01014897,6,0
E01014898,6,0
E01014899,5,0
E01014900,4,0
E01014901,6,0
E01014902,4,0
E01014903,7,0
E01014904,6,0
E01014905,3,0
E01014906,17,0
E01014907,6,0
E01014908,4,0
E01014909,2,0
E01014910,12,0
E01014915,4,0
E01014916,6,0
E01014917,8,2
E01014918,8,0
E01014922,4,0
E01014923,3,0
E01014924,7,0
E01014925,4,0
E01014926,6,0
E01014927,6,0
E01014928,5,0
E01014946,3,0
E01014947,3,0
E01014948,45,1
E01014949,13,0
E01014950,4,0
E01014951,7,0
E01014952,12,1
E01014953,29,34
E01014954,7,3
E01014955,6,0
E01014956,3,0
E01014957,6,0
E01014958,5,0
E01014959,4,0
E01014960,3,0
E01014961,7,0
E01014963,15,59
E01014965,4,0
E01014966,15,2
E01014967,6,0
E01014968,6,0
E01014969,4,0
E01014970,6,1
E01014973,4,0
E01014974,5,0
E01014975,7,0
E01014976,7,0
E01014977,5,0
E01014978,3,0
E01014979,1,0
E01014980,4,0
E01014981,29,5
E01014982,6,0
E01014983,5,0
E01014984,6,0
E01014996,10,0
E01014997,30,21
E01014998,6,3
E01014999,6,3
E01015000,11,14
E01015001,6,0
E01015002,5,0
E01015003,6,0
E01015004,2,3
E01015005,9,0
E01015006,5,0
E01015007,11,0
E01015008,7,0
E01015023,4,0
E01015024,4,0
E01015025,8,0
E01015026,5,0
E01015027,11,0
E01015028,3,0
E01015029,18,0
E01015030,8,0
E01015031,3,0
E01015032,6,0
E01015033,8,0
E01015034,5,0
E01015035,4,0
E01015036,8,0
E01015037,1,0
E01015038,7,0
E01015039,1,0
E01015040,7,0
E01015041,5,0
E01015042,2,0
E01015043,4,0
E01015044,3,0
E01015045,6,0
E01015046,6,0
E01015047,11,0
E01015048,4,0
E01015049,2,0
E01015050,2,0
E01015051,3,0
E01015052,5,0
E01015053,4,0
E01015054,6,0
E01015055,7,2
E01015056,5,0
E01015057,5,0
E01015058,5,0
E01015059,3,0
E01015060,9,0
E01015061,3,0
E01015062,5,0
E01015063,6,0
E01015064,5,0
E01015065,5,0
E01015066,5,0
E01015067,8,0
E01015068,5,0
E01015069,5,0
E01015070,8,0
E01015071,9,0
E01015072,2,0
E01015073,8,0
E01015074,8,0
E01015075,5,0
E01015076,2,0
E01015077,9,0
E01015078,4,0
E01015079,4,0
E01015080,2,0
E01015081,5,0
E01015082,11,0
E01015083,7,0
E01015084,5,0
E01015085,5,0
E01015086,6,0
E01015087,3,0
E01015088,5,0
E01015089,12,0
E01015090,9,0
E01015091,11,2
E01015092,25,1
E01015093,3,0
E01015094,7,0
E01015095,18,2
E01015096,5,1
E01015097,25,1
E01015098,5,0
E01015099,6,0
E01015100,5,0
E01015101,8,0
E01015102,5,0
E01015103,1,0
E01015104,3,0
E01015105,3,0
E01015106,9,0
E01015107,4,0
E01015108,9,0
E01015109,5,0
E01015110,6,0
E01015111,3,0
E01015112,7,2
E01015113,12,0
E01015114,6,0
E01015115,7,0
E01015116,4,0
E01015117,4,0
E01015118,8,0
E01015119,8,0
E01015120,4,0
E01015121,6,0
E01015122,4,0
E01015123,9,0
E01015124,14,0
E01015125,7,0
E01015126,7,0
E01015127,6,1
E01015128,7,0
E01015129,5,1
E01015130,4,1
E01015131,7,7
E01015132,5,0
E01015133,7,0
E01015134,10,0
E01015135,17,3
E01015136,7,0
E01015137,9,1
E01015138,12,0
E01015139,6,3
E01015140,7,0
E01015141,13,0
E01015142,7,0
E01015143,4,0
E01015144,3,0
E01015145,10,0
E01015146,3,0
E01015147,3,0
E01015148,7,0
E01015149,2,0
E01015150,2,0
E01015151,3,0
E01015152,17,0
E01015153,4,0
E01015154,29,0
E01015155,6,0
E01015156,28,0
E01015157,18,0
E01015158,26,0
E01015159,9,0
E01015160,7,0
E01015161,7,0
E01015162,5,0
E01015163,7,2
E01015164,9,0
E01015165,6,0
E01015166,10,0
E01015167,4,0
E01015168,4,0
E01015169,6,0
E01015170,7,0
E01015171,2,0
E01015172,7,0
E01015173,5,0
E01015174,6,0
E01015175,3,0
E01015176,5,0
E01015177,1,0
E01015178,3,0
E01015179,3,0
E01015180,6,0
E01015181,6,0
E01015182,35,0
E01015183,8,0
E01015184,5,0
E01015185,9,0
E01015186,7,0
E01015187,9,0
E01015188,5,0
E01015189,6,0
E01015190,12,14
E01015191,5,0
E01015192,5,0
E01015193,5,0
E01015194,5,0
E01015195,31,7
E01015196,2,0
E01015197,9,0
E01015198,9,0
E01015199,10,1
E01015200,3,0
E01015201,9,10
E01015202,4,0
E01015203,4,0
E01015204,2,0
E01015205,3,0
E01015206,3,0
E01015207,5,3
E01015208,17,2
E01015209,7,0
E01015210,5,0
E01015211,7,0
E01015212,6,0
E01015213,4,0
E01015214,2,0
E01015215,3,0
E01015216,5,0
E01015217,7,0
E01015218,2,0
E01015219,9,0
E01015220,4,0
E01015221,7,0
E01015222,7,0
E01015223,4,0
E01015224,4,0
E01015225,6,0
E01015226,7,1
E01015227,2,0
E01015228,5,0
E01015229,10,0
E01015230,5,0
E01015231,12,0
E01015232,13,0
E01015233,4,0
E01015234,2,0
E01015235,5,0
E01015236,12,1
E01015237,3,0
E01015238,3,0
E01015239,11,0
E01015240,4,0
E01015241,3,0
E01015242,2,0
E01015243,6,0
E01015244,7,1
E01015245,6,0
E01015246,4,0
E01015247,9,0
E01015248,6,0
E01015249,4,0
E01015250,2,3
E01015251,6,0
E01015252,15,0
E01015253,8,0
E01015254,7,1
E01015255,18,0
E01015256,23,0
E01015257,4,0
E01015258,14,0
E01015259,10,0
E01015260,5,0
E01015261,10,0
E01015262,6,0
E01015263,7,0
E01015264,7,2
E01015265,5,0
E01015266,5,0
E01015267,12,0
E01015268,13,0
E01015269,11,0
E01015270,11,0
E01015271,14,0
E01018750,6,3
E01018751,8,28
E01018752,10,21
E01018753,3,62
E01018754,4,15
E01018755,1,42
E01018756,6,28
E01018757,14,72
E01018758,14,100
E01018759,5,90
E01018760,3,112
E01018761,6,81
E01018762,8,30
E01018763,4,43
E01018764,5,85
E01018765,5,87
E01018766,6,171
E01018767,7,0
E01018768,7,2
E01018769,8,25
E01018770,4,2
E01018771,7,1
E01018772,9,14
E01018773,12,15
E01018774,7,35
E01018775,6,1
E01018776,6,0
E01018777,2,149
E01018778,8,90
E01018779,10,80
E01018780,10,18
E01018781,17,68
E01018782,2,35
E01018783,6,48
E01018784,6,187
E01018785,2,125
E01018786,7,0
E01018787,16,28
E01018788,6,1
E01018789,6,1
E01018790,5,0
E01018791,8,2
E01018792,8,4
E01018793,6,0
E01018794,5,1
E01018795,3,42
E01018796,4,0
E01018797,4,0
E01018798,4,0
E01018799,7,0
E01018800,5,1
E01018801,6,3
E01018802,4,0
E01018803,23,0
E01018804,6,0
E01018805,8,0
E01018806,4,0
E01018807,17,5
E01018808,5,0
E01018809,25,0
E01018810,11,1
E01018811,6,0
E01018812,10,0
E01018813,3,5
E01018814,8,1
E01018815,5,92
E01018816,7,41
E01018817,17,116
E01018818,7,20
E01018819,9,25
E01018820,2,83
E01018821,2,56
E01018822,8,1
E01018823,8,0
E01018824,8,3
E01018825,3,59
E01018826,8,33
E01018827,6,47
E01018828,5,32
E01018829,5,76
E01018830,3,59
E01018831,5,62
E01018832,11,35
E01018833,7,74
E01018834,15,1
E01018835,8,0
E01018836,4,0
E01018837,10,11
E01018838,2,0
E01018839,4,0
E01018840,5,0
E01018841,5,0
E01018842,7,6
E01018843,4,84
E01018844,9,1
E01018845,6,101
E01018846,5,80
E01018847,3,82
E01018848,6,5
E01018849,20,76
E01018850,3,98
E01018851,9,4
E01018852,6,89
E01018853,13,0
E01018854,8,6
E01018855,20,6
E01018856,5,0
E01018857,3,7
E01018858,8,1
E01018859,13,1
E01018860,8,0
E01018861,1,55
E01018862,4,54
E01018863,1,83
E01018864,0,88
E01018865,4,8
E01018866,8,1
E01018867,9,2
E01018868,5,0
E01018869,5,14
E01018870,4,0
E01018871,7,4
E01018872,4,35
E01018873,4,7
E01018874,4,2
E01018875,6,0
E01018876,9,39
E01018877,7,13
E01018878,7,0
E01018879,9,64
E01018880,4,116
E01018881,13,69
E01018882,7,2
E01018883,11,13
E01018884,5,0
E01018885,6,0
E01018886,8,15
E01018887,6,7
E01018888,10,5
E01018889,4,8
E01018890,2,22
E01018891,5,20
E01018892,10,26
E01018893,5,5
E01018894,6,27
E01018895,16,4
E01018896,5,7
E01018897,25,18
E01018898,3,1
E01018899,11,43
E01018900,12,40
E01018901,5,42
E01018902,4,98
E01018903,7,94
E01018904,14,33
E01018905,5,78
E01018906,7,2
E01018907,6,0
E01018908,10,67
E01018909,8,0
E01018910,16,1
E01018911,10,1
E01018912,6,8
E01018913,6,0
E01018914,7,16
E01018915,7,6
E01018916,2,32
E01018917,4,12
E01018918,6,24
E01018919,4,20
E01018920,6,127
E01018921,7,81
E01018922,0,169
E01018923,5,71
E01018924,15,118
E01018925,2,200
E01018926,3,229
E01018927,6,8
E01018928,8,0
E01018929,9,14
E01018930,4,0
E01018931,3,3
E01018932,14,12
E01018933,9,0
E01018934,19,18
E01018935,12,9
E01018936,8,1
E01018937,11,1
E01018938,15,11
E01018939,16,50
E01018940,9,77
E01018941,5,30
E01018942,9,33
E01018943,18,169
E01018944,3,64
E01018945,4,90
E01018946,9,3
E01018947,19,11
E01018948,6,7
E01018949,5,4
E01018950,11,2
E01018951,10,175
E01018952,3,62
E01018953,0,113
E01018954,8,63
E01018955,17,47
E01018956,9,55
E01018957,8,31
E01018958,10,0
E01018959,12,32
E01018960,7,20
E01018961,6,1
E01018962,5,119
E01018963,13,59
E01018964,14,22
E01018965,13,140
E01018966,3,93
E01018967,1,73
E01018968,6,270
E01018969,7,166
E01018970,5,1
E01018971,9,7
E01018972,12,1
E01018973,5,5
E01018974,8,272
E01018975,5,20
E01018976,8,17
E01018977,4,0
E01018978,7,30
E01018979,3,53
E01018980,4,52
E01018981,9,5
E01018982,13,11
E01018983,8,1
E01018984,7,4
E01018985,14,13
E01018986,7,4
E01018987,1,119
E01018988,16,34
E01018989,8,123
E01018990,8,31
E01018991,7,37
E01018992,12,81
E01018993,6,1
E01018994,9,1
E01018995,15,0
E01018996,9,1
E01018997,5,0
E01018998,3,0
E01018999,8,0
E01019000,8,0
E01019001,4,0
E01019002,5,21
E01019003,8,8
E01019004,6,0
E01019005,21,105
E01019006,5,126
E01019007,7,101
E01019008,5,0
E01019009,5,22
E01019010,3,0
E01019011,15,7
E01019012,14,0
E01019013,10,0
E01019014,6,0
E01019015,4,1
E01019016,4,2
E01019017,16,25
E01019018,4,2
E01019019,8,0
E01019020,8,0
E01019021,6,0
E01019022,7,0
E01019023,5,1
E01019024,6,34
E01019025,9,46
E01019026,7,5
E01019027,14,0
E01019028,10,0
E01019029,12,0
E01019030,6,0
E01019031,9,17
E01019032,6,2
E01019033,14,0
E01019034,6,16
E01019035,7,19
E01019036,4,132
E01019037,8,56
E01019038,8,8
E01019039,5,57
E01019040,10,15
E01019041,8,0
E01019042,6,1
E01019043,10,6
E01019044,7,0
E01019045,14,3
E01019046,3,0
E01019047,7,1
E01019048,11,9
E01019049,16,21
E01019050,14,45
E01019051,4,0
E01019052,4,81
E01019053,20,52
E01019054,8,42
E01019055,6,0
E01019056,3,2
E01019057,6,5
E01019058,7,5
E01019059,11,21
E01019060,15,88
E01019061,5,13
E01019062,8,3
E01019063,12,61
E01019064,11,88
E01019065,4,2
E01019066,3,60
E01019067,6,61
E01019068,5,21
E01019069,10,14
E01019070,3,15
E01019071,7,72
E01019072,6,0
E01019073,5,23
E01019074,4,17
E01019075,10,35
E01019076,5,13
E01019077,0,0
E01019886,11,104
E01019887,7,2
E01019888,11,30
E01019889,7,31
E01019890,10,55
E01019891,5,118
E01019892,7,41
E01019893,25,76
E01019894,8,1
E01019895,12,22
E01019896,10,2
E01019897,4,0
E01019898,17,67
E01019899,6,0
E01019900,10,89
E01019901,3,138
E01019902,16,112
E01019903,8,74
E01019904,6,0
E01019905,6,4
E01019906,5,0
E01019907,5,0
E01019908,5,0
E01019909,4,1
E01019910,7,0
E01019911,6,1
E01019912,4,0
E01019913,14,0
E01019914,15,10
E01019915,8,0
E01019916,7,0
E01019917,3,0
E01019918,7,0
E01019919,5,0
E01019920,8,0
E01019921,6,0
E01019922,3,0
E01019923,3,0
E01019924,7,4
E01019925,5,0
E01019926,6,56
E01019927,6,0
E01019928,5,0
E01019929,5,0
E01019930,12,5
E01019931,4,14
E01019932,10,1
E01019933,7,0
E01019934,7,20
E01019935,3,105
E01019936,3,69
E01019937,11,29
E01019938,3,291
E01019939,4,43
E01019940,6,51
E01019941,2,50
E01019942,11,9
E01019943,6,26
E01019944,4,3
E01019945,15,98
E01019946,8,5
E01019947,12,1
E01019948,8,1
E01019949,4,14
E01019950,5,2
E01019951,11,82
E01019952,6,0
E01019953,8,2
E01019954,8,10
E01019955,7,0
E01019956,10,0
E01019957,14,1
E01019958,7,4
E01019959,2,78
E01019960,1,88
E01019961,6,130
E01019962,5,81
E01019963,7,9
E01019964,7,54
E01019965,9,3
E01019966,0,60
E01019967,0,168
E01019968,10,1
E01019969,29,0
E01019970,20,3
E01019971,11,0
E01019972,8,0
E01019973,8,2
E01019974,6,0
E01019975,3,0
E01019976,8,2
E01019977,5,0
E01019978,13,0
E01019979,11,1
E01019980,8,0
E01019981,3,1
E01019982,6,5
E01019983,7,0
E01019984,4,0
E01019985,5,0
E01019986,3,0
E01019987,8,0
E01019988,4,0
E01019989,2,0
E01019990,5,0
E01019991,2,0
E01019992,3,0
E01019993,3,5
E01019994,6,0
E01019995,17,0
E01019996,5,0
E01019997,2,0
E01019998,6,0
E01019999,4,0
E01020000,3,0
E01020001,3,10
E01020002,13,1
E01020003,6,2
E01020004,4,2
E01020005,9,0
E01020006,7,0
E01020007,5,0
E01020008,3,0
E01020009,2,0
E01020010,9,0
E01020011,5,0
E01020012,5,0
E01020013,9,0
E01020014,3,0
E01020015,5,0
E01020016,41,0
E01020017,20,0
E01020018,17,0
E01020019,5,0
E01020020,8,0
E01020021,6,1
E01020022,9,0
E01020023,10,0
E01020024,7,0
E01020025,6,0
E01020026,7,0
E01020027,7,1
E01020028,54,3
E01020029,4,0
E01020030,8,0
E01020031,4,0
E01020032,7,0
E01020033,10,5
E01020034,12,0
E01020035,20,4
E01020036,8,0
E01020037,2,0
E01020038,21,1
E01020039,5,0
E01020040,6,0
E01020041,13,7
E01020042,13,0
E01020043,7,15
E01020044,2,143
E01020045,7,73
E01020046,6,139
E01020047,17,40
E01020048,13,1
E01020049,1,204
E01020050,8,147
E01020051,8,18
E01020052,13,6
E01020053,6,0
E01020054,14,11
E01020055,10,3
E01020056,9,195
E01020057,5,1
E01020058,6,0
E01020059,11,136
E01020060,9,0
E01020061,9,3
E01020062,5,4
E01020063,12,43
E01020064,12,13
E01020065,16,2
E01020066,11,28
E01020067,6,0
E01020068,5,91
E01020069,2,118
E01020070,4,173
E01020071,9,44
E01020072,1,150
E01020073,7,88
E01020074,4,156
E01020075,6,120
E01020076,6,86
E01020077,3,149
E01020078,5,1
E01020079,8,1
E01020080,4,70
E01020081,6,29
E01020082,5,104
E01020083,7,96
E01020084,6,0
E01020085,11,0
E01020086,6,22
E01020087,2,245
E01020088,9,169
E01020089,13,0
E01020090,9,39
E01020091,4,29
E01020092,7,8
E01020093,10,5
E01020094,18,0
E01020095,5,0
E01020096,7,0
E01020097,6,306
E01020098,9,230
E01020099,9,79
E01020100,0,110
E01020101,5,6
E01020102,7,0
E01020103,4,0
E01020104,5,0
E01020105,7,1
E01020106,10,2
E01020107,6,20
E01020108,28,92
E01020109,15,47
E01020110,13,30
E01020111,7,0
E01020112,8,0
E01020113,8,0
E01020114,5,0
E01020115,9,24
E01020116,6,1
E01020117,16,43
E01020118,4,3
E01020119,7,87
E01020120,3,80
E01020121,3,67
E01020122,11,125
E01020123,6,1
E01020124,18,0
E01020125,7,0
E01020126,19,94
E01020127,1,212
E01020128,9,4
E01020129,9,0
E01020130,5,0
E01020131,9,227
E01020132,33,2
E01020133,6,0
E01020134,4,2
E01020135,8,2
E01020136,13,45
E01020137,3,3
E01020138,5,231
E01020139,5,0
E01020140,6,5
E01020141,4,0
E01020142,8,156
E01020143,6,162
E01020144,3,0
E01020145,14,84
E01020146,5,2
E01020147,10,107
E01020148,5,75
E01020149,31,78
E01020150,13,37
E01020151,12,14
E01020152,13,0
E01020153,15,38
E01020154,10,8
E01020155,6,0
E01020156,11,75
E01020157,13,217
E01020158,11,61
E01020159,21,98
E01020160,12,97
E01020161,19,0
E01020162,5,0
E01020163,4,3
E01020164,7,0
E01020165,4,0
E01020166,6,0
E01020167,2,0
E01020168,15,5
E01020169,11,9
E01020170,14,26
E01020171,18,45
E01020172,16,63
E01020173,20,5
E01020174,12,90
E01020175,17,95
E01020176,6,40
E01020177,7,2
E01020178,13,62
E01020179,15,99
E01020180,14,2
E01020181,7,0
E01020182,6,0
E01020183,11,0
E01020184,8,15
E01020185,7,23
E01020186,11,25
E01020187,6,44
E01020188,15,151
E01020189,10,38
E01020190,11,42
E01020191,5,49
E01020192,9,13
E01020193,4,85
E01020194,3,3
E01020195,11,47
E01020196,8,1
E01020197,14,39
E01020198,8,3
E01020199,12,7
E01020200,2,22
E01020201,11,11
E01020202,22,12
E01020203,8,6
E01020204,11,1
E01020205,7,82
E01020206,6,0
E01020207,9,29
E01020208,4,0
E01020209,5,1
E01020210,5,0
E01020211,6,0
E01020212,3,0
E01020213,10,0
E01020214,4,0
E01020215,9,0
E01020216,7,0
E01020217,31,0
E01020218,11,0
E01020219,8,0
E01020220,5,15
E01020221,5,59
E01020222,2,1
E01020223,11,59
E01020224,2,0
E01020225,3,0
E01020226,11,2
E01020227,11,0
E01020228,6,0
E01020229,26,32
E01020230,6,3
E01020231,7,2
E01020232,8,0
E01020233,14,0
E01020234,6,1
E01020235,7,19
E01020236,6,11
E01020237,8,87
E01020238,4,1
E01020239,9,50
E01020240,8,23
E01020241,11,81
E01020242,6,7
E01020243,4,50
E01020244,9,21
E01020245,5,61
E01020246,8,43
E01020247,6,2
E01020248,7,17
E01020249,8,7
E01020250,6,0
E01020251,3,31
E01020252,10,4
E01020253,4,0
E01020254,3,0
E01020255,6,3
E01020256,16,37
E01020257,0,1
E01020258,8,71
E01020259,4,182
E01020260,7,2
E01020261,10,25
E01020262,3,122
E01020263,7,60
E01020264,3,0
E01020265,10,4
E01020266,8,0
E01020267,5,0
E01020268,7,5
E01020269,9,0
E01020270,6,0
E01020271,5,0
E01020272,12,0
E01020273,5,59
E01020274,2,156
E01020275,9,0
E01020276,7,14
