LSOA,NSubstations_11kV_GMT,NSubstations_11kV_PMT
E01014370,28,0
E01014371,25,0
E01014372,6,0
E01014373,5,2
E01014374,9,13
E01014375,4,96
E01014376,7,15
E01014377,10,8
E01014378,15,69
E01014379,8,93
E01014380,14,3
E01014381,7,0
E01014382,19,98
E01014383,5,57
E01014384,4,30
E01014385,2,69
E01014386,4,13
E01014387,4,0
E01014388,10,2
E01014389,6,1
E01014390,5,0
E01014391,5,47
E01014392,3,53
E01014393,4,8
E01014394,8,32
E01014395,4,3
E01014396,11,5
E01014397,5,0
E01014398,10,3
E01014399,11,10
E01014400,12,0
E01014401,5,0
E01014402,4,2
E01014403,8,0
E01014404,7,0
E01014405,10,0
E01014406,4,0
E01014407,17,0
E01014408,2,0
E01014409,6,0
E01014410,6,0
E01014411,14,0
E01014412,6,0
E01014413,11,3
E01014414,6,0
E01014415,4,0
E01014416,13,0
E01014417,8,0
E01014418,2,64
E01014419,7,19
E01014420,7,8
E01014421,4,0
E01014422,6,0
E01014423,11,1
E01014424,8,2
E01014425,8,1
E01014426,8,1
E01014427,4,0
E01014428,4,0
E01014429,10,0
E01014430,7,2
E01014431,5,0
E01014432,3,0
E01014433,4,0
E01014434,9,0
E01014435,2,0
E01014436,2,0
E01014437,9,0
E01014438,3,0
E01014439,8,6
E01014440,10,1
E01014441,5,18
E01014442,4,6
E01014443,6,8
E01014444,6,10
E01014445,8,1
E01014446,1,40
E01014447,8,11
E01014448,6,12
E01014449,7,7
E01014450,6,6
E01014451,9,5
E01014452,9,7
E01014453,8,3
E01014454,7,2
E01014455,4,0
E01014456,5,0
E01014457,5,0
E01014458,2,0
E01014459,4,13
E01014460,4,19
E01014461,2,0
E01014462,4,1
E01014463,6,0
E01014464,12,0
E01014465,2,0
E01014466,6,0
E01014467,5,0
E01014468,6,0
E01014469,5,0
E01014470,12,1
E01014471,7,0
E01014472,13,0
E01014473,3,0
E01014474,4,0
E01014475,16,0
E01014476,2,0
E01014477,7,0
E01014478,2,1
E01014479,7,1
E01014480,6,0
E01014481,7,0
E01014482,10,3
E01014483,6,0
E01014484,10,0
E01014485,7,0
E01014486,7,0
E01014487,2,0
E01014488,4,0
E01014489,4,0
E01014490,23,0
E01014491,5,0
E01014492,6,0
E01014493,6,0
E01014494,2,0
E01014495,6,0
E01014496,41,1
E01014497,7,1
E01014498,52,23
E01014499,12,0
E01014500,3,0
E01014501,15,0
E01014502,4,0
E01014503,9,0
E01014504,2,0
E01014505,4,0
E01014506,14,0
E01014507,3,0
E01014508,3,0
E01014509,8,0
E01014510,3,0
E01014511,0,0
E01014512,3,0
E01014513,3,0
E01014514,5,0
E01014515,7,0
E01014516,3,0
E01014517,3,1
E01014518,7,0
E01014519,4,0
E01014520,8,0
E01014521,3,0
E01014522,6,0
E01014523,7,0
E01014524,4,0
E01014525,4,0
E01014526,22,1
E01014527,5,0
E01014528,11,0
E01014529,4,0
E01014530,5,0
E01014531,11,0
E01014532,2,0
E01014533,5,0
E01014534,7,0
E01014535,8,0
E01014536,11,2
E01014537,4,0
E01014538,8,0
E01014539,5,0
E01014540,67,0
E01014541,32,0
E01014542,27,0
E01014543,63,0
E01014544,7,0
E01014545,10,0
E01014546,8,0
E01014547,3,0
E01014548,5,0
E01014549,5,0
E01014550,7,0
E01014551,6,0
E01014552,2,0
E01014553,5,0
E01014554,11,0
E01014555,5,0
E01014556,5,0
E01014557,5,0
E01014558,4,0
E01014559,8,0
E01014560,5,0
E01014561,4,0
E01014562,2,0
E01014563,2,0
E01014564,6,0
E01014565,3,0
E01014566,2,0
E01014567,3,0
E01014568,5,0
E01014569,2,0
E01014570,4,0
E01014571,5,0
E01014572,5,0
E01014573,6,0
E01014574,6,0
E01014575,3,0
E01014576,10,0
E01014577,8,0
E01014578,6,0
E01014579,8,0
E01014580,7,0
E01014581,6,0
E01014582,3,0
E01014583,3,0
E01014584,2,0
E01014585,2,0
E01014586,7,0
E01014587,6,0
E01014588,12,0
E01014589,5,0
E01014590,8,0
E01014591,4,0
E01014592,5,0
E01014593,3,0
E01014594,8,0
E01014595,3,0
E01014596,5,0
E01014597,5,0
E01014598,18,0
E01014599,6,0
E01014600,4,0
E01014601,3,0
E01014602,4,0
E01014603,5,0
E01014604,8,0
E01014605,5,0
E01014606,8,0
E01014607,9,0
E01014608,9,0
E01014609,6,0
E01014610,4,0
