"Licence Area: East Midlands"
"Scenario: Consumer Transformation"
"Technology: Heat pumps"
"Sub-Technology: Domestic - Hybrid"
"Units: Heat pumps"

"Local Authority Name","0","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2040","2045","2050"
"Amber Valley District (B)","0","0","84","167","251","333","418","602","788","974","1158","1347","1666","1987","2306","2627","2948","4504","5574","6846"
"Ashfield District","0","0","83","165","250","331","413","595","776","958","1141","1320","1624","1928","2233","2538","2848","4343","5372","6611"
"Aylesbury Vale District","0","0","20","40","59","79","99","144","189","233","278","323","399","478","555","632","706","1070","1309","1587"
"Bassetlaw District","0","0","55","107","166","221","276","396","514","636","756","874","1075","1278","1480","1681","1882","2859","3528","4324"
"Bedford (B)","0","0","4","8","13","17","21","31","40","50","59","70","86","102","119","135","151","229","280","340"
"Birmingham District (B)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Blaby District","0","0","65","131","195","259","325","466","610","753","895","1035","1273","1512","1749","1989","2222","3343","4087","4929"
"Bolsover District","0","0","53","107","162","216","267","385","501","620","738","851","1045","1241","1435","1631","1827","2779","3431","4215"
"Boston District (B)","0","0","34","70","104","140","174","249","326","402","477","552","681","808","935","1063","1194","1822","2260","2785"
"Broxtowe District (B)","0","0","75","150","226","299","375","545","715","884","1052","1226","1524","1818","2114","2411","2708","4154","5147","6329"
"Central Bedfordshire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Charnwood District (B)","0","0","107","207","313","419","523","757","991","1221","1457","1689","2092","2497","2898","3303","3705","5647","6970","8535"
"Cherwell District","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cheshire East (B)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chesterfield District (B)","0","0","79","157","237","316","394","563","733","902","1074","1237","1510","1788","2065","2343","2616","3933","4820","5881"
"City of Derby (B)","0","0","155","312","466","620","777","1122","1468","1814","2157","2505","3097","3689","4283","4875","5475","8388","10403","12867"
"City of Leicester (B)","0","0","162","323","485","646","813","1174","1536","1900","2262","2634","3275","3914","4554","5187","5855","9109","11436","14412"
"City of Nottingham (B)","0","0","176","352","528","704","879","1267","1656","2044","2435","2828","3500","4171","4842","5515","6212","9591","12002","15069"
"City of Peterborough (B)","0","0","4","11","14","20","25","36","48","60","70","80","100","119","139","158","178","270","335","408"
"Corby District (B)","0","0","40","79","120","159","198","285","371","458","544","626","772","918","1062","1207","1353","2060","2547","3145"
"Coventry District (B)","0","0","152","310","466","620","785","1149","1513","1877","2244","2651","3350","4044","4739","5438","6183","9837","12512","15972"
"Daventry District","0","0","39","82","121","162","202","291","380","470","560","647","800","952","1104","1255","1404","2128","2614","3186"
"Derbyshire Dales District","0","0","41","84","126","169","213","307","402","497","594","694","860","1031","1200","1367","1538","2364","2929","3606"
"Doncaster District (B)","0","0","1","2","4","5","6","9","11","14","16","19","23","27","31","35","39","58","70","82"
"East Lindsey District","0","0","43","84","125","169","212","304","397","492","586","678","841","1003","1164","1325","1492","2306","2870","3551"
"East Northamptonshire District","0","0","51","103","151","201","254","365","476","589","700","814","1007","1200","1393","1584","1777","2707","3344","4097"
"East Staffordshire District (B)","0","0","59","118","175","234","294","426","556","689","820","954","1187","1417","1649","1880","2116","3266","4067","5045"
"Erewash District (B)","0","0","76","151","228","302","379","549","716","885","1055","1225","1515","1806","2096","2386","2683","4113","5100","6284"
"Fenland District","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gedling District (B)","0","0","74","147","221","292","367","531","697","859","1025","1191","1476","1762","2044","2329","2615","4006","4958","6084"
"Harborough District","0","0","48","101","151","200","251","363","477","588","699","813","1003","1193","1390","1580","1766","2668","3266","3954"
"High Peak District (B)","0","0","1","2","3","4","5","7","9","11","14","16","20","24","27","31","35","54","67","83"
"Hinckley and Bosworth District (B)","0","0","70","140","210","278","350","503","658","812","967","1120","1385","1647","1910","2171","2433","3696","4548","5543"
"Huntingdonshire District","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kettering District (B)","0","0","58","116","174","233","292","422","552","682","815","949","1178","1407","1637","1868","2100","3232","4018","4970"
"King's Lynn and West Norfolk District (B)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lichfield District","0","0","5","10","15","20","25","36","46","57","67","78","97","114","132","150","168","255","315","383"
"Lincoln District (B)","0","0","57","112","170","226","283","409","536","663","790","922","1146","1370","1595","1819","2053","3187","3993","5011"
"Mansfield District","0","0","73","149","221","295","365","526","685","849","1007","1163","1424","1689","1954","2217","2483","3763","4632","5673"
"Melton District (B)","0","0","29","59","88","118","149","212","279","343","411","474","585","698","810","923","1035","1579","1948","2387"
"Milton Keynes (B)","0","0","145","289","437","581","727","1044","1366","1684","2004","2326","2877","3425","3975","4525","5068","7691","9467","11609"
"Newark and Sherwood District","0","0","72","145","220","293","365","526","689","849","1011","1171","1443","1714","1988","2260","2531","3851","4744","5802"
"North East Derbyshire District","0","0","63","125","188","252","314","448","583","717","855","979","1193","1407","1620","1837","2043","3038","3695","4459"
