"Licence Area: South Wales"
"Scenario: Consumer Transformation"
"Technology: Heat pumps"
"Sub-Technology: Domestic - Hybrid"
"Units: Heat pumps"

"Local Authority Name","0","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2040","2045","2050"
"Abertawe - Swansea","0","0","152","306","458","611","764","1103","1445","1784","2123","2468","3053","3642","4233","4821","5417","8313","10321","12796"
"Blaenau Gwent - Blaenau Gwent","0","0","45","86","132","175","220","318","416","513","611","716","894","1071","1250","1426","1615","2531","3198","4064"
"Bro Morgannwg - the Vale of Glamorgan","0","0","76","154","231","310","387","561","734","907","1083","1265","1574","1885","2195","2507","2818","4344","5400","6684"
"Caerdydd - Cardiff","0","0","186","372","560","746","940","1363","1788","2211","2641","3091","3873","4650","5430","6205","7008","10892","13629","17054"
"Caerffili - Caerphilly","0","0","117","233","350","468","583","842","1101","1358","1617","1878","2324","2771","3218","3665","4117","6324","7861","9766"
"Casnewydd - Newport","0","0","89","174","263","354","441","640","836","1036","1232","1438","1787","2140","2489","2841","3202","4950","6182","7725"
"Castell-nedd Port Talbot - Neath Port Talbot","0","0","95","190","284","376","474","681","895","1104","1316","1529","1892","2256","2618","2982","3357","5175","6451","8031"
"County of Herefordshire","0","0","0","0","0","1","1","1","2","2","2","3","3","4","5","5","6","9","12","15"
"Forest of Dean District","0","0","3","6","9","12","15","22","29","35","42","49","60","72","83","94","105","160","198","240"
"Merthyr Tudful - Merthyr Tydfil","0","0","37","71","108","144","180","261","342","423","505","591","738","884","1031","1177","1333","2084","2628","3325"
"Pen-y-bont ar Ogwr - Bridgend","0","0","92","185","278","370","464","667","873","1078","1281","1491","1846","2201","2556","2913","3272","5018","6224","7685"
"Powys - Powys","0","0","26","52","78","102","132","190","247","308","366","425","531","631","735","836","945","1458","1817","2250"
"Rhondda Cynon Taf - Rhondda Cynon Taf","0","0","132","267","398","532","671","982","1293","1603","1914","2260","2848","3440","4029","4617","5243","8318","10560","13444"
"Sir Benfro - Pembrokeshire","0","0","52","106","160","213","268","390","508","631","751","874","1083","1293","1503","1713","1930","2987","3733","4648"
"Sir Ceredigion - Ceredigion","0","0","4","9","13","17","22","32","41","51","61","72","89","107","124","141","158","249","311","383"
"Sir Fynwy - Monmouthshire","0","0","51","103","155","207","259","375","488","602","716","832","1025","1216","1412","1606","1794","2710","3323","4038"
"Sir Gaerfyrddin - Carmarthenshire","0","0","82","163","245","328","411","592","778","959","1144","1327","1641","1955","2270","2584","2905","4462","5542","6858"
"South Gloucestershire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tor-faen - Torfaen","0","0","58","116","173","231","289","419","548","676","804","937","1160","1384","1610","1835","2064","3180","3966","4965"
