"Licence Area: South Wales"
"Scenario: Consumer Transformation"
"Technology: Electric vehicles"
"Sub-Technology: Pure electric car (non autonomous)"
"Units: Electric vehicles"

"Local Authority Name","0","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2040","2045","2050"
"Abertawe - Swansea","246","529","1032","1792","2674","3881","5464","7827","11184","15773","21831","29399","38372","47875","57396","66399","74820","95502","87483","63375"
"Blaenau Gwent - Blaenau Gwent","70","152","297","514","765","1113","1566","2245","3207","4524","6263","8434","11007","13734","16465","19048","21735","28336","25774","18083"
"Bro Morgannwg - the Vale of Glamorgan","156","339","663","1147","1712","2487","3499","5013","7160","10100","13979","18827","24574","30661","36754","42522","47311","59076","54515","40802"
"Caerdydd - Cardiff","359","763","1491","2581","3857","5600","7880","11288","16130","22750","31480","42403","55339","69037","82764","95754","106861","134135","123557","91768"
"Caerffili - Caerphilly","180","395","774","1335","1988","2886","4064","5821","8312","11725","16236","21860","28535","35603","42683","49379","55939","72065","65809","47020"
"Casnewydd - Newport","141","306","597","1034","1546","2244","3156","4524","6466","9116","12617","16994","22177","27668","33168","38373","43088","54664","50176","36683"
"Castell-nedd Port Talbot - Neath Port Talbot","150","323","632","1094","1628","2365","3329","4770","6819","9616","13309","17922","23391","29185","34990","40479","45844","59023","53915","38553"
"County of Herefordshire","15","35","69","119","175","253","358","512","730","1031","1430","1922","2511","3134","3758","4347","4833","6034","5568","4170"
"Forest of Dean District","18","40","78","135","201","291","409","586","839","1182","1637","2202","2876","3588","4301","4975","5430","6546","6114","4812"
"Merthyr Tudful - Merthyr Tydfil","58","128","249","433","645","936","1319","1888","2697","3805","5266","7093","9258","11551","13847","16019","18208","23589","21502","15232"
"Pen-y-bont ar Ogwr - Bridgend","137","296","580","1002","1495","2170","3054","4377","6252","8819","12205","16437","21455","26766","32089","37124","42033","54093","49415","35363"
"Powys - Powys","104","236","464","799","1190","1726","2432","3482","4973","7017","9717","13081","17077","21310","25548","29554","33168","42060","38614","28251"
"Rhondda Cynon Taf - Rhondda Cynon Taf","235","507","992","1715","2560","3721","5235","7499","10712","15109","20913","28164","36762","45866","54985","63613","72069","92845","84789","60575"
"Sir Benfro - Pembrokeshire","159","340","659","1140","1706","2479","3485","4995","7137","10064","13927","18760","24483","30547","36618","42369","47654","60639","55602","40470"
"Sir Ceredigion - Ceredigion","76","166","321","557","831","1205","1696","2430","3471","4897","6778","9125","11913","14862","17820","20614","23180","29491","27043","19692"
"Sir Fynwy - Monmouthshire","128","277","542","940","1401","2035","2865","4102","5861","8268","11445","15411","20115","25098","30088","34808","38604","47940","44319","33442"
"Sir Gaerfyrddin - Carmarthenshire","238","511","1003","1736","2589","3762","5291","7580","10833","15277","21143","28476","37168","46372","55589","64313","72287","91868","84271","61448"
"South Gloucestershire","4","10","20","34","50","72","102","146","208","294","408","548","716","894","1072","1240","1398","1790","1638","1182"
"Tor-faen - Torfaen","92","201","396","683","1018","1478","2080","2981","4256","6005","8313","11192","14609","18230","21854","25284","28616","36807","33630","24084"
