"Licence Area: South Wales"
"Scenario: Consumer Transformation"
"Technology: Heat pumps"
"Sub-Technology: Domestic - Non-hybrid"
"Units: Heat pumps"

"Local Authority Name","0","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2040","2045","2050"
"Abertawe - Swansea","191","421","1561","2714","3894","5062","7063","9888","12377","14863","17337","19896","23262","26635","30012","33424","37029","52877","68251","84085"
"Blaenau Gwent - Blaenau Gwent","5","28","232","437","647","858","1181","1800","2439","3048","3664","4332","5273","6227","7177","8134","9227","14137","19145","24588"
"Bro Morgannwg - the Vale of Glamorgan","53","158","714","1278","1856","2431","3334","4730","6074","7393","8715","10113","11943","13780","15624","17480","19402","27833","35926","44206"
"Caerdydd - Cardiff","19","266","1601","2962","4371","5792","8352","12109","15828","19562","23336","27326","32378","37356","42309","47249","52533","75069","96696","119308"
"Caerffili - Caerphilly","0","58","615","1178","1741","2307","3193","4846","6508","8206","9888","11660","14129","16614","19106","21588","24231","35966","47661","59902"
"Casnewydd - Newport","3","109","727","1348","1978","2607","3564","5206","6806","8402","9978","11594","13718","15853","17991","20133","22389","32263","41567","51229"
"Castell-nedd Port Talbot - Neath Port Talbot","26","134","753","1379","2016","2657","3648","5187","6721","8269","9814","11384","13479","15590","17723","19870","22122","31741","40986","50486"
"County of Herefordshire","7","9","13","17","22","26","31","37","44","50","56","62","68","74","81","88","102","176","282","381"
"Forest of Dean District","15","26","62","98","134","168","207","269","329","388","446","507","576","648","724","803","884","1259","1626","1980"
"Merthyr Tudful - Merthyr Tydfil","0","20","197","376","557","738","1037","1572","2089","2593","3097","3673","4477","5297","6123","6961","7903","11979","16059","20441"
"Pen-y-bont ar Ogwr - Bridgend","13","79","591","1112","1634","2148","2824","4161","5504","6842","8170","9607","11647","13671","15720","17756","19867","29263","38387","47762"
"Powys - Powys","518","733","1394","2059","2730","3393","4142","5046","5927","6817","7702","8625","9495","10373","11271","12182","13135","16985","20402","23653"
"Rhondda Cynon Taf - Rhondda Cynon Taf","20","97","744","1403","2071","2763","3997","6104","8179","10263","12326","14644","17886","21155","24444","27763","31363","47513","63889","81522"
"Sir Benfro - Pembrokeshire","718","1129","2409","3700","4986","6277","7821","9714","11614","13523","15442","17344","19188","21041","22916","24807","26740","34501","41321","47981"
"Sir Ceredigion - Ceredigion","1230","1492","2202","2920","3636","4354","5223","6125","6986","7856","8691","9548","10176","10814","11451","12095","12753","15109","16883","18442"
"Sir Fynwy - Monmouthshire","298","488","1178","1873","2565","3251","4011","5123","6234","7339","8439","9547","10826","12115","13427","14757","16067","21639","26677","31556"
"Sir Gaerfyrddin - Carmarthenshire","925","1485","3242","5010","6786","8565","10656","13363","16019","18692","21372","24117","26902","29693","32414","35150","37927","49114","58952","68560"
"South Gloucestershire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","14","38","60"
"Tor-faen - Torfaen","0","42","367","692","1025","1363","1904","2849","3812","4759","5688","6675","8016","9363","10681","12000","13416","19578","25646","32117"
