"Licence Area: East Midlands"
"Scenario: Consumer Transformation"
"Technology: Heat pumps"
"Sub-Technology: Domestic - Non-hybrid"
"Units: Heat pumps"

"Local Authority Name","0","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2040","2045","2050"
"Amber Valley District (B)","42","149","726","1304","1885","2464","3155","4405","5653","6895","8120","9377","11099","12832","14596","16382","18213","26575","34853","43109"
"Ashfield District","20","90","582","1076","1572","2078","2711","3867","4996","6122","7267","8407","10039","11677","13345","15042","16801","24884","32973","41179"
"Aylesbury Vale District","198","298","632","973","1321","1670","2187","2803","3419","4006","4570","5136","5750","6364","6981","7596","8192","10709","13018","15230"
"Bassetlaw District","728","893","1528","2164","2811","3460","4317","5503","6668","7839","9028","10219","11620","13042","14489","15955","17461","23968","29995","35915"
"Bedford (B)","24","40","94","149","206","263","368","500","634","769","907","1027","1160","1294","1422","1547","1677","2266","2889","3498"
"Birmingham District (B)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","19","51","84"
"Blaby District","35","106","536","977","1422","1873","2597","3768","4930","6099","7277","8471","10080","11704","13279","14817","16292","22754","28788","34654"
"Bolsover District","9","78","446","823","1206","1589","2197","3180","4170","5129","6088","7049","8315","9573","10784","11992","13230","18783","24338","29950"
"Boston District (B)","287","425","922","1422","1930","2448","3316","4389","5433","6454","7464","8451","9547","10650","11732","12795","13876","18471","22550","26494"
"Broxtowe District (B)","0","85","551","1017","1491","1964","2685","3903","5098","6213","7323","8471","10055","11647","13251","14862","16510","23994","31372","38693"
"Central Bedfordshire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","95","255","420"
"Charnwood District (B)","28","152","911","1686","2460","3241","4673","7037","9492","11891","14326","16758","19864","23003","26065","29060","31909","43914","54377","64577"
"Cherwell District","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","133","357","588"
"Cheshire East (B)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","19","51","84"
"Chesterfield District (B)","0","78","563","1056","1546","2039","2768","4055","5342","6645","7921","9175","10826","12505","14181","15868","17553","25136","32545","40050"
"City of Derby (B)","7","225","1342","2456","3573","4693","6255","8910","11471","13911","16338","18802","22119","25426","28753","32100","35581","51115","66208","81575"
"City of Leicester (B)","180","478","1810","3166","4528","5898","8191","11612","15061","18592","21902","25292","29517","33778","38043","42203","46662","65956","84709","104428"
"City of Nottingham (B)","11","390","1929","3450","4987","6532","9004","12665","16229","19647","22936","26262","30446","34630","38832","43051","47612","67856","87390","107790"
"City of Peterborough (B)","54","81","168","257","345","432","541","682","824","954","1083","1218","1359","1502","1650","1802","1964","2727","3517","4284"
"Corby District (B)","3","45","322","605","890","1182","1824","2738","3641","4565","5502","6447","7499","8545","9565","10564","11560","15791","19918","24222"
"Coventry District (B)","90","380","1508","2655","3828","5018","7031","10101","13220","16318","19430","22871","27204","31319","35460","39619","44262","65027","85934","108244"
"Daventry District","544","742","1409","2089","2782","3483","4686","6062","7407","8766","10099","11434","12874","14308","15732","17142","18520","24243","29091","33634"
"Derbyshire Dales District","261","409","940","1472","2006","2544","3277","4270","5252","6239","7200","8199","9350","10511","11684","12871","14080","19479","24413","29120"
"Doncaster District (B)","0","1","7","14","21","28","35","51","68","84","100","116","140","165","191","218","243","374","508","637"
"East Lindsey District","501","829","1828","2835","3839","4844","6001","7485","8921","10327","11724","13149","14540","15945","17364","18793","20268","26314","31790","37054"
"East Northamptonshire District","261","389","927","1476","2031","2591","3471","4672","5857","7050","8232","9436","10851","12278","13703","15132","16505","22366","27852","33317"
"East Staffordshire District (B)","102","241","860","1488","2128","2768","3765","5190","6625","8108","9617","11205","13071","14959","16676","18378","20098","27200","33810","40521"
"Erewash District (B)","44","136","645","1155","1669","2184","2831","3976","5125","6280","7474","8718","10385","12035","13708","15361","17057","24606","31986","39367"
"Fenland District","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","38","102","168"
"Gedling District (B)","20","134","697","1268","1839","2405","3294","4683","6042","7278","8506","9771","11437","13109","14782","16458","18167","25797","33205","40552"
"Harborough District","265","422","1012","1612","2211","2810","3792","5162","6515","7838","9146","10448","11874","13304","14708","16093","17421","23042","28273","33339"
"High Peak District (B)","0","5","20","34","48","63","95","137","177","215","247","279","315","350","384","417","454","633","844","1057"
"Hinckley and Bosworth District (B)","122","231","801","1374","1944","2518","3178","4380","5593","6849","8148","9484","11260","13057","14889","16735","18565","26858","34000","40676"
"Huntingdonshire District","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","76","204","336"
"Kettering District (B)","23","124","607","1097","1583","2081","3047","4445","5799","7136","8417","9727","11278","12822","14329","15811","17293","23635","29731","35922"
