"Licence Area: West Midlands"
"Scenario: Consumer Transformation"
"Technology: Heat pumps"
"Sub-Technology: Domestic - Hybrid"
"Units: Heat pumps"

"Local Authority Name","0","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2040","2045","2050"
"Bath and North East Somerset","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Birmingham District (B)","0","0","549","1106","1654","2208","2772","4024","5275","6529","7779","9087","11320","13556","15786","18024","20346","31683","39786","50118"
"Bromsgrove District","0","0","61","125","186","247","309","445","586","720","859","995","1229","1463","1698","1929","2159","3255","3983","4819"
"Cannock Chase District","0","0","64","128","192","256","319","458","598","737","876","1008","1236","1465","1692","1920","2147","3240","3977","4848"
"Cheltenham District (B)","0","0","65","128","192","256","324","474","624","775","924","1089","1371","1653","1935","2217","2509","3934","4942","6197"
"Cherwell District","0","0","32","63","95","125","157","227","298","369","439","510","632","755","878","1000","1124","1724","2139","2642"
"Cheshire East (B)","0","0","18","37","55","74","92","133","173","213","254","294","362","431","499","567","634","954","1167","1414"
"City of Bristol (B)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"City of Stoke-on-Trent (B)","0","0","162","320","483","644","800","1150","1501","1850","2200","2543","3129","3714","4299","4885","5481","8368","10382","12875"
"City of Wolverhampton District (B)","0","0","156","312","469","626","778","1115","1454","1793","2130","2457","3014","3568","4128","4685","5245","7953","9821","12123"
"Cotswold District","0","0","11","23","35","49","60","89","115","143","171","198","249","297","347","396","445","689","859","1063"
"County of Herefordshire","0","0","76","153","228","306","383","554","727","901","1071","1248","1551","1851","2151","2450","2760","4256","5300","6568"
"Derbyshire Dales District","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dudley District (B)","0","0","211","421","633","843","1049","1509","1968","2426","2886","3331","4095","4856","5619","6380","7139","10804","13296","16276"
"East Staffordshire District (B)","0","0","2","5","7","9","11","17","22","28","33","39","49","58","67","76","87","131","159","193"
"Forest of Dean District","1","1","33","66","100","132","165","236","309","381","454","527","650","774","897","1019","1143","1745","2155","2642"
"Gloucester District (B)","0","0","67","134","201","268","336","486","637","786","937","1092","1357","1622","1887","2151","2422","3739","4657","5774"
"High Peak District (B)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lichfield District","0","0","58","119","178","237","295","426","558","687","818","946","1168","1388","1609","1830","2045","3081","3770","4569"
"Malvern Hills District","0","0","37","73","109","145","183","262","345","425","505","589","725","864","1003","1140","1278","1938","2385","2913"
"Newcastle-under-Lyme District (B)","0","0","82","164","246","328","410","588","768","946","1125","1302","1601","1900","2200","2496","2794","4226","5195","6356"
"North Warwickshire District (B)","0","0","7","15","22","30","38","55","71","89","106","124","154","184","214","245","276","425","528","650"
"Powys - Powys","0","0","3","6","9","11","15","21","28","34","40","47","58","69","81","92","104","161","201","249"
"Redditch District (B)","0","0","53","106","158","211","261","377","492","608","721","834","1027","1220","1413","1605","1796","2720","3351","4120"
"Sandwell District (B)","0","0","180","363","546","726","903","1299","1698","2093","2489","2882","3548","4220","4887","5556","6240","9559","11892","14820"
"Shropshire","0","0","106","209","314","420","527","762","998","1230","1464","1699","2103","2510","2909","3316","3715","5667","7000","8591"
"Sir Fynwy - Monmouthshire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solihull District (B)","0","0","127","254","382","509","636","918","1200","1484","1764","2047","2531","3016","3501","3983","4461","6760","8304","10137"
"South Gloucestershire","0","0","60","122","179","240","302","437","571","706","840","978","1212","1447","1683","1917","2150","3277","4038","4934"
"South Northamptonshire District","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Staffordshire District","0","0","71","141","212","282","352","506","658","811","964","1112","1363","1615","1864","2118","2362","3530","4299","5180"
"Stafford District (B)","0","0","78","159","237","317","397","574","749","924","1101","1278","1580","1879","2182","2484","2784","4225","5198","6353"
"Staffordshire Moorlands District","0","0","60","117","178","238","296","429","559","692","821","953","1175","1400","1623","1847","2068","3143","3869","4716"
"Stratford-on-Avon District","0","0","41","82","122","164","204","298","389","483","575","670","833","995","1156","1318","1481","2257","2784","3411"
"Stroud District","0","0","63","127","189","253","317","459","602","744","887","1032","1282","1528","1777","2024","2274","3472","4290","5264"
"Telford and Wrekin (B)","0","0","107","213","319","425","529","758","985","1215","1443","1662","2040","2414","2791","3167","3534","5310","6498","7907"
"Tewkesbury District (B)","0","0","50","99","150","202","253","363","473","583","694","806","997","1185","1374","1564","1749","2643","3238","3932"
"Walsall District (B)","0","0","164","329","494","658","818","1177","1534","1893","2249","2598","3193","3787","4383","4977","5575","8461","10448","12881"
"Warwick District","0","0","0","0","0","1","1","1","2","3","3","3","4","5","6","6","7","12","14","17"
"West Oxfordshire District","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wiltshire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Worcester District (B)","0","0","57","113","171","227","284","412","539","667","794","927","1154","1381","1607","1834","2064","3183","3958","4908"
"Wychavon District","0","0","64","134","198","267","335","483","629","777","925","1072","1320","1574","1825","2073","2321","3519","4324","5277"
"Wyre Forest District","0","0","60","118","179","239","298","432","566","698","831","966","1195","1425","1654","1883","2115","3243","4025","4969"
