"Licence Area: South West"
"Scenario: Consumer Transformation"
"Technology: Electric vehicles"
"Sub-Technology: Pure electric car (non autonomous)"
"Units: Electric vehicles"

"Local Authority Name","0","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2040","2045","2050"
"Bath and North East Somerset","325","698","1366","2365","3532","5134","7223","9982","13516","17954","23394","29791","37370","45394","53432","61041","67556","83538","77340","58705"
"City of Bristol (B)","610","1300","2535","4391","6564","9540","13419","18545","25110","33359","43468","55359","69442","84354","99286","113428","127443","161857","148514","108404"
"City of Plymouth (B)","374","804","1569","2715","4058","5894","8295","11460","15520","20615","26863","34207","42914","52126","61353","70095","79018","100927","92431","66889"
"Cornwall","1001","2143","4180","7240","10827","15727","22122","30572","41393","54988","71659","91259","114475","139045","163674","186980","209284","264046","242806","178982"
"Dorset","90","190","366","637","952","1384","1947","2693","3645","4843","6311","8035","10083","12245","14413","16467","18330","22903","21129","15800"
"East Devon District","343","730","1424","2464","3683","5354","7533","10413","14098","18729","24404","31078","38990","47363","55744","63686","70456","87076","80632","61260"
"Exeter District (B)","210","445","866","1498","2241","3258","4581","6331","8572","11387","14839","18895","23706","28796","33893","38721","43246","54363","50053","37099"
"Isles of Scilly","8","17","32","56","84","122","171","236","320","425","554","706","885","1076","1266","1446","1611","2015","1859","1387"
"Mendip District","189","400","782","1353","2021","2942","4136","5717","7738","10282","13397","17060","21402","25996","30598","34956","38628","47654","44154","33641"
"Mid Devon District","208","438","849","1474","2201","3204","4503","6229","8430","11203","14596","18588","23324","28327","33339","38089","42234","52410","48465","36607"
"North Devon District","220","464","903","1565","2340","3400","4786","6615","8956","11900","15503","19744","24773","30087","35411","40459","45167","56728","52246","38771"
"North Somerset","403","860","1677","2905","4346","6314","8885","12273","16618","22076","28767","36634","45958","55821","65704","75065","83112","102869","95210","72176"
"Sedgemoor District","242","512","998","1729","2586","3757","5284","7304","9888","13136","17115","21796","27347","33214","39097","44665","49488","61336","56743","42934"
"Somerset West and Taunton District","297","634","1234","2137","3198","4645","6536","9033","12230","16248","21171","26960","33822","41085","48357","55244","61599","77199","71150","52968"
"South Gloucestershire","273","583","1130","1959","2930","4257","5990","8281","11208","14895","19405","24710","31005","37656","44321","50638","56377","70476","65009","48580"
"South Hams District","282","596","1156","2003","3000","4360","6131","8479","11478","15253","19871","25306","31749","38564","45389","51856","57077","69899","64929","49984"
"South Somerset District","207","440","855","1481","2214","3220","4530","6260","8477","11263","14673","18687","23445","28476","33520","38294","42451","52667","48705","36801"
"Teignbridge District","282","596","1154","2004","2996","4353","6123","8464","11460","15228","19838","25264","31698","38500","45315","51770","57432","71335","65945","49741"
"Torbay (B)","200","428","835","1447","2164","3145","4425","6112","8279","10995","14329","18249","22891","27806","32729","37390","42227","54105","49498","35656"
"Torridge District","160","341","655","1136","1701","2474","3479","4810","6513","8653","11274","14358","18015","21881","25754","29423","33024","41867","38439","28135"
"West Devon District (B)","174","362","698","1211","1812","2638","3708","5132","6942","9236","12025","15311","19221","23343","27469","31389","35028","43982","40515","30083"
"Wiltshire","12","24","45","78","117","171","240","333","450","600","780","993","1248","1515","1782","2037","2289","2910","2670","1947"
