"Licence Area: South West"
"Scenario: Consumer Transformation"
"Technology: Heat pumps"
"Sub-Technology: Domestic - Non-hybrid"
"Units: Heat pumps"

"Local Authority Name","0","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2040","2045","2050"
"Bath and North East Somerset","135","382","1367","2357","3341","4326","5547","7421","9356","11264","13102","15056","17405","19764","22155","24564","27069","37985","48317","58867"
"City of Bristol (B)","179","663","2648","4637","6619","8601","10929","14711","18471","22193","25903","29982","35053","40150","45361","50661","56642","83041","108935","136450"
"City of Plymouth (B)","9","197","1234","2273","3305","4371","5954","8665","11290","13955","16527","19275","22881","26483","30149","33735","37639","55044","72234","90556"
"Cornwall","7417","9382","15233","21096","26963","32854","39808","47985","56091","64181","72277","80763","88574","96385","104177","112034","120231","152322","179850","206605"
"Dorset","157","250","552","859","1167","1482","1890","2414","2943","3471","4006","4568","5122","5674","6229","6785","7369","9768","11985","14185"
"East Devon District","464","792","1872","2957","4056","5170","6795","8869","10971","13055","15087","17209","19355","21501","23648","25772","27935","36926","45280","53600"
"Exeter District (B)","87","224","791","1344","1898","2451","3070","4154","5225","6280","7332","8466","9914","11371","12865","14389","16064","23589","30990","38784"
"Isles of Scilly","40","54","92","129","167","204","249","294","339","384","429","480","514","550","588","626","667","815","924","1021"
"Mendip District","232","394","962","1535","2113","2684","3387","4333","5264","6184","7100","8050","9110","10178","11261","12348","13462","18236","22658","27033"
"Mid Devon District","475","709","1441","2179","2920","3671","4748","6015","7250","8521","9805","11108","12423","13759","15055","16344","17649","22824","27117","31257"
"North Devon District","584","814","1578","2336","3101","3875","5011","6421","7806","9214","10644","12122","13674","15139","16603","18058","19580","25785","31500","37228"
"North Somerset","177","436","1573","2725","3896","5089","7072","9817","12163","14515","16857","19319","22342","25361","28361","31388","34485","47822","60363","72911"
"Sedgemoor District","270","553","1474","2401","3327","4257","5553","7225","8864","10495","12101","13753","15537","17244","18943","20634","22348","29374","35763","42128"
"Somerset West and Taunton District","797","1142","2339","3547","4765","6013","8113","10674","13208","15748","18224","20732","23391","25918","28378","30782","33185","42786","51332","59891"
"South Gloucestershire","44","214","946","1687","2436","3198","4525","6427","8273","10113","11967","13912","16234","18566","20865","23136","25453","35183","44106","53186"
"South Hams District","788","1075","1949","2836","3719","4618","5975","7541","9105","10691","12287","13970","15640","17332","19005","20546","22117","28255","33508","38593"
"South Somerset District","1091","1364","2219","3078","3933","4821","6069","7568","9086","10627","12073","13578","15095","16628","18163","19591","21013","26656","31483","36167"
"Teignbridge District","352","591","1439","2295","3164","4039","5255","6947","8619","10282","11931","13632","15545","17448","19332","21206","23112","31118","38523","45926"
"Torbay (B)","46","213","852","1495","2144","2794","3750","5159","6659","8184","9730","11288","13151","15012","16895","18779","20881","29938","38891","48237"
"Torridge District","833","1077","1778","2494","3211","3939","5264","6667","8044","9394","10820","12322","13540","14750","15918","17051","18204","22418","26086","29717"
"West Devon District (B)","349","523","1054","1584","2114","2649","3327","4138","4942","5746","6553","7392","8189","8981","9777","10565","11384","14721","17731","20641"
"Wiltshire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","33","84","138"
